id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
CRYAB	2.810650562	4.98592e-12	8.1568e-16	59.33625456	29.81226782	15.0884801862108	11.3022546941109
CA2	-3.741392473	4.98592e-12	1.40965e-15	-56.60407587	29.73076901	14.8508887043215	11.3022546941109
CRABP2	-2.472024641	1.38901e-10	5.89065e-14	-41.01626743	25.40685436	13.2298367806224	9.8572946276035
PLCB4	2.806093919	4.54036e-10	2.56735e-13	36.11131766	22.83479292	12.5905149210804	9.34290971106028
RRM2	-1.83336383	3.10647e-09	2.19569e-12	-29.97669337	25.03537551	11.6584289760584	8.50773283612696
HMGCS1	-2.462127854	3.23163e-09	2.74099e-12	-29.40411482	25.22601725	11.5620925489015	8.49057836886183
FBN1	5.378680734	5.49256e-09	5.43511e-12	27.83495574	22.19404514	11.2647916618979	8.26022519020598
HMGB3	-1.407053637	5.77185e-09	6.5274e-12	-27.26503704	26.12714547	11.185259772861	8.23868496396433
KLRG2	1.340164883	5.94994e-09	7.5699e-12	26.91521392	25.79940507	11.1209098575851	8.22548741373368
NIBAN1	1.834639388	6.23538e-09	8.81451e-12	26.56037242	24.32257204	11.0548018251923	8.20513707436278
ACSL1	1.34539732	8.35798e-09	1.29966e-11	25.67564498	24.40489537	10.8861702472598	8.07789867242427
PYGL	1.022607031	9.19041e-09	1.61882e-11	25.18799302	27.24919854	10.7908014386788	8.03666511355777
CDH6	-1.675521547	9.19041e-09	1.71636e-11	-25.05957339	25.28335015	10.7653916153126	8.03666511355777
S100A1	2.345010287	9.19041e-09	1.81885e-11	24.93290475	22.9327451	10.7402031155921	8.03666511355777
EEF1A2	1.929977809	1.18883e-08	2.52084e-11	24.23153696	27.29604892	10.5984547185133	7.92488024406965
PTPRJ	1.297416249	1.4603e-08	3.30291e-11	23.66530594	25.22629053	10.4811032601069	7.83555791479048
MUC16	-2.461351811	1.64429e-08	3.9515e-11	-23.29665096	23.6017756	10.4032380137248	7.78402158442812
VIM	2.13050476	1.85861e-08	4.72929e-11	22.93273682	25.82250182	10.3252040542362	7.73081173051698
