id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
CASK	602288.1875	811981.8125	376942.9375	248172.9531	316966.6875	183414.8594	215241.5313	498319.6563	523208.9375	636855.1875	946138	388886.5938
AGA	1883132	896593.3125	765420.9375	6651277.5	6832630.5	2964648.75	4434799	2088868	2065788.875	5806565.5	5814960	6228539
AGO2	709129.5	823539.5625	893844.875	574745.4375	628631.0625	343044.6563	427969.9688	424611.5625	413787.0625	541227.6875	427480.1563	429800
CLDND1	4310897.5	3159111.75	3148792.25	1918973.625	2389944.25	2098515.5	4833172.5	3246260.5	3814870.5	2803138.25	3876488.5	2702059.75
CTNNBL1	2511625	2344757.75	2076827.375	421118.5625	1638085.75	267196.6563	2207381.5	1194569.625	2235866.5	1523265.125	1573267.625	1369836
CHMP4B	2856247.75	2690423	1446528.75	2972667.75	3411742.75	3121490.75	2136277.5	2050337.875	2349152.25	1476731.25	1151580.5	1320817.375
ASCC1	1886126.5	2105872.5	2088323.875	747884	770113.75	640537.75	788658.125	1255179.125	1178261.75	574295.9375	831702.6875	707677.4375
DNAJC21	1010424.375	1901687.625	1184708.25	1070189.75	928826.4375	1515555.5	442365.3125	43678.67188	491083.9688			
MYO1C	1720310.375	2855478.75	1788882.875	1178582.75	917724.625	485586.2188	1123247.25	1054813.75	1078670.875	525892.9375	922512.375	647891.4375
NAA15	2047518.5	1510260.375	2595549.25	2213082.25	2055167.125	1883305.875	1677043.875	1467096.375	1803613.25	883369.3125	599485.875	784701.125
HDAC7	1208127.625	1628565	1491234.375	967607.1875	1091093.5	1175253.75	549891.8125	483955.5625	701908.375	437585.1563	714019.75	753311.375
GNB4	11185541	12268451	11653742	7567262	8631693	6817743.5	16348654	16646014	17179186	11137851	16557987	11580298
PRTG	1513949.125	1599268.5	1436878.125	1031611.25	1580921.375	1299006.75	2400640.25	2196861.25	2997465.5	1714143	1345755.25	1109021.5
FHL2	3500141	3466368.5	3214819	2278351.5	2192677.5	2532413.5	2391997	1666953.625	2756090.75	2505091	3443784.25	2518998.25
STARD9	21848106	23738458	20727458	9521969	11341501	9849277	9558713	11266331	13693620	11833956	11022439	11210133
PDIA5	516050.3125	717142.625	891025.5	887122.9375	844774.6875	722202.5625	1268581.375	1482316	1274343.875	589245.9375	613564.875	541892.3125
H2AC1	2448115.75	1734677.75	1366837.875	1369568.875	1099524.375	1429228.25	1629304.375	1209268	1802316.375	1687745	1707867.5	1832494.5
TRNT1	1529301.5	1541510	1351313.75	1467553.25	1391377	1213603.5	1127969.5	1306287.25	1118194.875	1295417.5	1204030.125	1209470.125
EWSR1	3075327.75	4096886.5	3701663.5	6505701	5788793	6361606	3644093.5	3763598.5	4518168	2650439.5	2519601.75	2299607.5
VANGL1	747616.3125	1012987.188	754692.5	654831.4375	884598.875	815452.375	868808.375	914327.875	580466	699248.875	1399461	683039.4375
PRKAA1	2247798	4325167.5	3328191.25	1242004.75	1181669.25	1211698.375	757102.5	1433062	1276362.25	1226485.875	1804416.75	1167824.625
BCL2L13	389630.125	889743.875	606892.625	406613.5313	355145.8438	413961.1875	402217.0938	381224.5	459543.7813	103756.5	524783.5	83069.71094
CAPS	3732247.5	3566159.25	4069412	3183793.5	3377235.75	2430040	2921347.75	2012934.625	2548190.75	2011017.75	1032551	1229381.5
FLVCR1	2096401.25	3824130	3570926.25	3147112.75	4488446.5	2884316.5	4404427.5	2396097.25	2515350	2058593.75	2135912.25	1556631.75
PAK4	1018461.563	1436676.625	1804963.625	861295.875	1035184.438	760798.9375	541556.75	592849.875	817776.875	243712.4844	680014.375	221833.25
PTPN1	2432901	3198580.5	1429917.5	1721561.25	1683388.5	1980569.625	1546591.875	1967954.5	1710149.125	1197230.25	515929.125	1086409.75
NDNF	277274.4375	400079	169305.4531	1025775.75	897337.5	1030066	1426729.625	1504515.25	927646.1875	173729.5625	73747.67188	
ARF3	2139060.75	5144658	6127247.5	3977369	435365.7188	3400304.75	4993972.5	5293577.5	6325703	2472089	4734020.5	2705620.75
CDC5L	625233.4375	1198635.5	864743.4375	887399.3125	1010351.688	926792.625	314358.9688	220745.9375	360088.8125	611143.8125	438145.6875	539616.4375
RANBP1	11044227	10388852	9160816	16382238	14986265	12887706	9794421	7996659.5	7420923	9573196	9086042	11135518
SPARC	1243332.5	932422.125	641765.75	8661959	8575369	6290541	1165500.875	463733.3125	763592.375	3881995.25	3105755.75	3652523
TRIM56	1038679.313	1146514.75	1229601.5	663509.0625		414116.9375	11505.32617	5373.588379	17367.98633	2429987.5	2310571.25	2874700
COPS6	1483732.25	1420349.125	1259854.125	1414199.375	1295787.75	1197563.75	331798.75	235238.9375	399682.7188	704382.4375	786806.4375	814022.625
KIAA1217	1179119.625	1152124.25	1338648.25	698266.6875	1129430.25	273094.25	228795.7813	254248.6094	135777.5625	476257.8125	445444.5625	568231.9375
NCR3LG1	3872552	3876429.25	4079914.75	1294956.5	1442194	1484571.625	682244.125	1211627.5	747854.9375	2568917.75	1959823.25	2505480.25
NOL6	460688.1875	389520.7813	510879.125	329952.75	288545.9063	310645.5625	177755.0625	221000.4531	180915.0156	292051	329681.375	363589.2188
RPL14	9947445	13321747	10587858	3294789.25	4243637	3859179.25	3448362	4584709	4969630.5	3594443	5383513	3619071.75
SUOX	4113775	4186756.25	3540698.5	3430047.25	3790954.25	3600973.5	2226125.75	3111064	2414746.75	3685898.5	2952502	2364471.25
PPP2CB	2700384.5	2904937.5	3896003	1219738.625	2052596	2285880.25	1643061.125	2331847.25	2287043.75	2430335	1936432	2474090.5
PRPS2	2612218	3452163.75	3509293	3107709.25	2658551.75	4129636	2638463.5	3773246.5	4054879	2112549.5	2183580.5	2202165.25
UBE2Z	2099067.5	2857991	1999089	2140310	2222550.5	2253399.5	1521897.25	1778076.875	1549530.25	1041659.563	775183.125	675621.5
BTF3L4	6033952.5	7840466	5889198	4413068.5	3772194.25	3853067.5	2988659.25	2581726.25	4033880	4197127.5	3029627.75	3618987.75
EDA	97393.04688	106854.1406	145692.3125	2455248	2452194	1891091.375	160723.7031	82635.08594	100534.4844	23780832	21896028	21143990
AHCYL1	1145940.25	1027557.75	1777004.75		290719.5938	251801.8438	192531.125	336604.5938	426302.0313	883285.8125	733818.0625	990181.625
SWAP70	35116872	30308092	29176120	18442140	23386564	22630550	17239604	18013436	19714232	17142560	15616735	19610860
PPP3CA	6972665	6733644	6332749	6950095	5993536	4796426.5	6294828.5	5239825.5	7000866	2690727.5	2662117.5	2835797.75
GTF2E1	2162793.25	3007346.25	3187412.5	4252239	4020223.75	4358470.5	842311.875	259966.5938	352659.5313	2820160	2759000.25	2847715.25
AFF4	1213697.625	1294894	2018337.625	1485854.5	1243038.125	2333776	524641.9375	334606.1563	349652.9375	922775.0625	931405.6875	984439.3125
BAG5	613792.4375	475444	687805.9375	808296.3125	626609.8125	1081530.625	1138749	427806	375481.4688	426294	413723.0938	900166.875
RRAS2	594635.75	645419.4375	381723.6875				642521.375	559775.5		311714.5938		
PNISR	3133027	4123978	4305578.5	3432278.5	3540930.25	5173584	2677942.5	2006293.125	2742497.25	1754768.375	2789491.75	1772536.25
ALPL	384287.1563	606028	580829.5625	1322917.125	1440949.375	1411753.125	83137.02344			116506.2891	118518.0234	143191.75
RANBP6	379262.0313	678812.8125	625396.25	458415.1875	245948.4844	490746.75	776443.8125	911768.5625	1110549	852669.625	1027222.938	796621.0625
SRFBP1	498405.2813	1418131.125	1133598	2951318	3677525.5	2148458	295323.125	238082.9375	1382017.75	916208.125	1196344.125	1696713.25
TAOK1	1098513.5	1294075.625	923460.6875	318979.5938	437607.5313	596601.0625	438533.0313	143369.9531	197198.25	554257.0625	551884.625	545807.375
HERC2	155916.1563	328410.125	370841.4688	43038.82031	54392.69141	87933.5	108953.0781	220424.4063	164901.5313	302986.0625	286457.9063	299066.3125
GPHN	3295572.5	4485190.5	3045809.25	2090309.25	2769937.25	2106603.5	1427585.25	2004378.5	1730952.5	2943975	3172170	2142375.75
CDK5	2163632.5	3483284	2085441.75	2576017.75	2471046.25	2013989	2116814.75	1486706.625	1726860.125	1393988.625	1451129.375	1715173.125
HECTD1	277176.125	593799.1875	237954.2031	133099.625	104243.3828	126761.7891	14971.89063	17051.60156	138100.9375	164747.1563	200307.0469	150502.2813
ENPP4	2907864	2682304.25	2456058.5	1953942.75	1804551.5	1456418	857927.3125	1101170.75	1099014.375	2988919.75	2357457.25	3426321.75
ADAMTS7	1241668.25	2161212.75	1096015.625	3710394	3899329.5	5633432.5	2281278	2732873	1841267.625	2065185.875	2653897.5	1404558.25
ESPL1	7127335	6777852.5	5319827	3911442.75	4197664	5145131	5631003	2662318.75	2829575	4048489.75	4272809	4377920.5
IGSF1	1482718.875	1053863.625	1740045	1901041.5	694780.0625	845922.6875	3153444.75	3251808	3104576.75	2893667	2745060.25	3101330.75
NELFE	2575970.5	2124800.5	1087693.875									
CLP1	1953020.75	1791542.25	1325883.25	2462565.25	2750032.5	2660267.25	1423222.875	862408.125	1034772.125	1071106	1370216.25	1185351.75
LUZP1	1246867.75	388254.875	1014649.5	1753971.125	1447377.125	1642596.5	233093.0781		164565.4375	194244.3125	42489.53906	280495.2813
AGO1	569672.8125	750866	816632.1875	229705.0781	427220.5625	235061.4063	277904.5625	249368.3594	519858.4063	234811.6875	761696	303543.5938
SETD3	997270.125	1359341	1112059.75	913136.625	1024785.875	616513.5625	625364.5625	872271.1875	902420.75	784636.75	774631.9375	771901.25
LLGL1	3005198.25	4241067	4410522.5	484920.8125	1195444	1167845.5	1157560	1392283	1447281.25	2626719.25	3305312	2493130.75
CREG1	16909218	22434828	19865058	21067554	21030420	19118668	15815044	7801737	13490325	32928378	31211850	26762134
VAT1	1354563.75	1282447.875	1374469.5	993334.9375	1170370.75	766460.8125	415298.4375	424697.5313	849606.5625	662191.6875	303855.7813	665320.375
C1QL1	2867688	4633365.5	4539146.5	1922488.5	1862969.25	2024538.875	779707.625	823618.125	909221.5	4255172.5	3457961.75	2955609.25
RPL35	26055902	30921896	22591408	14269147	17314390	13491990	12883041	13139130	11196636	14613982	13737003	12743784
KANK1	866825	933762.8125	1141021.5	69182.0625		122555.9297	303155.6563	369442.9375	450279.9063	276155.9375	354346.2188	254180.3906
TRRAP	278656.3125	375762.0313	389875.5	34528.74609	89933.86719	95898.58594	114641.7891	130917.1641	146842.2656	124803.6563	205070.8438	229238.7031
NSUN2	1952725.625	2604345.75	2113741.75	1138203.375	1168397.125	1230912.875	864560.5625	1057052.625	1134932.5	1536308	1612740.75	1087818.375
NUDT14	1995115	1015915.25	1339170	1184042.25	1143826.375	655281.25	880876.9375	945927.6875	1061111.875	1162330.25	744258.375	1280977.25
EXOSC9	4064423.75	4711186	4339624	2588342.25	3251848	3315561	1372993.25	1366270.5	1293263.75	2079709.375	2463539.5	2417948.75
RNF2	611631.4375	799392.125	705220.875	487549.9688	543695.1875	584840.5625	299625.3125	260462.6094	317700.4063	362314.9688	479541.0625	471171.3125
UBR2	366992.0313	503971.875	573275.75	138478.3281	130848.4063	178013.2656	152703.8906	184613.5	203350.7188	235764.1875	230828.9219	318310.6875
TMED8	2078400.625	6181263	3959582.5	1675024.625	1806946.5	2152579.75	1578201.5	1305834.375	1922577.75	1021258.25	784413.0625	1798014.25
ACSS1	1120918.75	1008640.25	1066493.75	496969.625	548954	325342.0625	1648117.375	1546723.625	1623727.375	582217.5625	155540.2031	409529.5313
ECI1	1483503.5	1735509.5	2996111	3159307.75	6068245	2897417.75	1391474	859104.3125	3281788.75	961641.625	776286.25	731819.75
PSMD4	3155237.75	3592065	3077637	3405146.75	2689586	2563892.25	1270287.375	560160.1875	1288968.75	1866125.875	1638970.125	1539390
TMEM33	5719480.5	6674285.5	7762862	3498223.5	3208955.5	3442235.75	3657148.25	5437439.5	4866361	4899550.5	6166688	3901626.75
CEP170	1349568.375	1182180.75	1423927.25	1852575.5	1231303.375	1517208.25	123951.8828		28953.42773	457103.75	450020.0313	895354.25
RPS13	4032369.5	3965569.5	3460935.25	2434839	2649291	2293965.5	2265398.25	1875700.25	2462088.5	2683101	2097113.125	2241065.5
ADARB1	381542.5625	398085.0625	605256.5625	261189.0469	295726.125	108698.4609	378517.4688	429023.375	244261.6875	283983.9375	363747.625	283412.1563
TRIM29	3686636.75	4519201	4161346	2833160.25	2728446.5	1262094	3295925.25	4040528.75	4845055.5	1812699.25	1603412.375	1864616.375
ESYT1	692991.5625	1675647.625	1376120.5	391888.75	703270.75	558158.5625	263066.9688	331672.625	320969.125	413480.9688	686557.25	765686.625
ARF4	17234630	16293866	16648387	11095291	13450736	5222436	22175304	26898970	20324294	12293704	15034182	13700528
FJX1	4184225.5	5395562	5015311	3516994.5	3870757.25	3550889	2502323.25	2543656.25	2295585	3188773	3303544.75	3134426
GOLM2	5550476	6208695.5	4998407.5	4362597	4655308	4711573	4900549.5	3966185.25	4482342.5	4643856	4292542.5	4519854
CLDN3	6806458.5	5944342	5569166.5	9181366	8997662	7991344	22830468	22218568	19702138	17251642	19662274	15278215
GPNMB	38361036	36553956	31194892	20227888	18219554	23260260	13221436	9814104	10379087	17191880	14900603	17117888
CUL3	398290.4688	581654.4375	491904.2813	223436.0469	239239.9063	185238.9375	195046.2813	226969.9219	303047.0313	315518.25	362179.0938	313638.25
BAG2	893040.5	805706.875	910590.6875	636956.125	1323880.625	532472.375	422504.1875	253421.1563	286744.7188	519499.4063	572310.3125	656033.5625
SSC5D		142998.8281		247148.1563	150440.6563	140382.4531	1335822.125	877224.8125	666346.625	369285.5938	453329.875	419118.2188
IL6			282267.875	563462.9375	543895.6875	386228.8125	941087.875	1148317.875	1220812.75	221963.0313	217767.5	253865.2188
PLPBP	2170883.75	2128239.75	2363028	3409165	3398217.5	2744367	2395834	2624545.25	2408338.25	967327	1264843.625	1346156.375
RPTOR	11038897	10096765	11287027	9324502	9450228	9991639	14826478	16541488	13791677	11180839	13112678	11475316
ZNF326	2720926.25	3841125.75	3883407.75	1909903.125	2119446.25	2382276	2004618.5	1051442.875	1660971.375	1440692.25	2403923.75	1879262.375
TMPRSS15	709129.5	589798.3125	533587.375	4564655	4266091	4131755.25	684812.25	604751.4375	506467.6875	1546921.25	931492.25	2541677.75
