id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
N4BP2L2	4.325959342	4.103738201	4.02636019	3.883440295	3.872726052	3.676186611	4.445400288	4.41964389	4.35726482	3.45454784	3.541262523	3.481344139
GABPB1-AS1	1.84943315	1.719539231	1.554720596	2.231107773	1.952795527	2.112601029	1.574681195	1.180410209	1.458049032	0.584117074	1.12498747	0.850893335
RP11-1000B6.5	0.453385021	0.210640707	0.414686083	0	0.278894643	0.073009547	0.407389513	0.586326075	0.369231814	0.262991439	0.214662507	0.145247434
CTD-3064M3.4	0.275624948	0	0	0	0.146176169	0.20879968	0.141979423	0.206365509	0.072366545	0.218254222	0.214662507	0.212731767
RP11-181C3.1	0.14438471	0.213219766	0.276157427	0.14201441	0	0.20879968	0.20805148	0.206365509	0.330214258	0	0	0
RP11-875O11.1	0.552955005	0.152082445	0.332776065	0.251685131	0.657074433	0.136382631	0.141979423	0.426809428	0.224107622	0.502752527	0.231517414	0.145247434
MIR3150A	0.211496661	0.074629894	0.144676329	0.072753932	0.214061022	0.142501638	0.271229642	0.495771231	0.330214258	0	0	0.074450845
A2M-AS1	0.337023614	0.074629894	0.144676329	0	0	0.142501638	0	0	0.388068367	0.1491076	0.458741388	0.145247434
SMARCA5-AS1	0.073997852	0	0	0.14201441	0.074938644	0.272184429	0.20805148	0	0	0.076479293	0	0.074450845
LINC01024	0.558585249	0.575391316	0	0.107384217	0.696718792	0.395726551	0.541365617	0.792424526	0.76788652	0	0.471873672	0
RNF139-AS1	0.452497507	0.398946877	0.271563248	0.14201441	0.340939563	0	0.495007878	0	0.269942843	0.284237754	0.513813901	0.212731767
EEF1A1P4	0.706340736	0.887306083	0.337721666	0.271355446	0.278894643	0.603254178	0.69658425	0.645246051	0.443800743	0.1491076	0.075159465	0.212731767
RP11-10K16.1	1.174140501	1.548001706	1.122359756	1.477056323	1.790776729	1.245377623	0.931130105	0.894767944	0.646936946	1.44342052	1.019408973	1.333732293
USP2-AS1	1.239816743	1.015895734	0.903094817	0.812314236	0.548507338	0.648338915	0.646995129	0.597023783	0.647031732	0.676599983	1.219293667	0.846820813
SAP30L-AS1	0	0.074629894	0.074150959	0.208101611	0	0.077487745	0.141979423	0.072118554	0.072366545	0.1491076	0.075159465	0.074450845
CTD-2547L16.1	1.793561384	1.285709127	1.386835342	0.852211224	1.127109573	1.177204966	1.669190864	1.841377261	2.012536276	0.627062079	0.344229698	1.131463778
CTC-241N9.1	0.610034657	0.510685249	0.396650345	0.208101611	0.074938644	0.20879968	0.499605735	0.442349106	0.738742059	0	0.075159465	0.074450845
RP11-367J11.3	0.211496661	0	0.276157427	0.072753932	0.278894643	0.142501638	0.271229642	0.072118554	0.207043275	0.284237754	0	0.145247434
RP11-540A21.2	0.14438471	0.277822174	0.276157427	0.785854608	0.889909453	1.098953285	0.445687517	0.943109123	0.693569625	0.817364089	1.011547159	0.843503403
LINC00461	0.14438471	0.145588364	0.110831371	0.14201441	0.146176169	0.391165491	0.141979423	0.166596159	0	0	0.279661337	0.083925346
NEAT1	3.077815503	3.368779337	2.293886348	3.295435811	2.839486473	3.740099263	3.83275046	2.123919487	2.248326695	1.704960674	1.594601842	2.096139909
RP11-219B17.1	0.922011782	0.711133746	0.580937544	0.389934909	0.278894643	0.360928615	0.249556105	0.397522352	0.693569625	0.218389247	0.146596506	0.33891016
RP11-712B9.2	0.458864412	0.182705028	0.396650345	0.170472189	0.146176169	0.142501638	0.297082456	0.13293377	0.444400784	0	0.075159465	0.212731767
CTD-2037K23.2	2.054916666	2.006840462	2.214303269	1.422842538	1.716865082	1.633774506	2.320958388	2.542381536	2.461918473	1.333180947	1.438973659	1.561462407
AP001258.4	1.92677821	1.79736101	2.064771159	2.269097506	1.911947461	1.914765491	2.122033272	1.947474646	2.211675106	1.79887649	1.086268034	1.846010883
BDNF-AS	1.363211494	1.566402901	0.744555422	0.737756637	0.47376478	0.636536908	1.308874157	1.833119686	1.379019872	0.407787841	0.208799906	0.398088663
DDX11-AS1	2.25412121	1.974131199	2.074577068	1.748056611	2.084164434	2.106144887	2.292186768	1.991247729	2.368652018	2.262666639	2.865160665	2.422417701
ZNF585B	2.772594754	2.718880435	2.603142487	2.783082344	2.911610041	3.030427487	2.383856147	2.158983133	1.863022445	1.970004178	1.997907924	2.381551366
CRNDE	0.713998564	0.818093598	0.864875191	0.785854608	0.572033312	1.002185894	1.710282367	1.67716926	1.80225075	0.1491076	0.075159465	0
RP11-279F6.1	0.342543207	0.09011128	0	0	0	0.388135829	0.411097088	0.086607109	0	0	0.214662507	0.33891016
CEBPA	2.682763733	2.376895079	2.412723803	2.240012447	2.425440926	2.145995909	3.321577907	3.347015517	3.387495249	2.376292816	2.309564182	1.948702537
RAD51-AS1	0.580787513	0.341469977	1.111237479	0.535986225	0.514934375	1.383591471	1.408542328	0.846314512	1.317165355	0.076479293	0.563054043	0.709751049
SNHG6	4.789500931	4.638637298	4.833335889	4.6723324	4.766358821	4.755222965	5.286794602	5.09807124	5.275671408	4.341631402	4.600620558	4.199959931
CTC-228N24.3	3.9096211	3.17819791	3.456476901	2.891859424	2.280763125	3.054216893	3.937400982	3.905375243	3.563151295	2.81710949	3.301976981	2.93703597
RP11-18H21.1	0	0.074629894	0	0.072753932	0	0.142501638	0	0.140802977	0	0	0.146596506	0
RP11-33B1.1	2.226400702	2.204473318	1.98309669	1.542891856	1.519046178	1.733598808	2.054587709	1.952718612	2.185647598	1.205767922	1.410262484	1.372286115
RP11-30K9.6	0.752050308	0.563468208	0.611090248	0.445786723	0.616510509	0.698578448	0.445687517	0.206365509	0.269942843	0.465809118	0.214662507	0.454935045
RP11-1C1.7	0	0	0.074150959	0	0	0.142501638	0.20805148	0.329176958	0	0	0	0.074450845
RAB30-AS1	1.350910642	1.621558706	1.379074737	1.150510331	0.779215196	0.744000559	1.579756316	1.333741822	1.188110679	0.768820668	0.597012958	0.788520192
RP11-115C21.2	2.506915	2.448803411	2.383857529	2.09034873	2.158839656	2.212137189	2.364256316	2.291517008	2.369226682	2.314476716	2.162221566	2.298380164
RP11-696N14.1	0.096968432	0.743243654	0.279609156	0.290944157	0.328497208	0.446838199	0.601306683	0.426699398	0.256151909	0.311898242	0.264647744	0.152483452
LINC01096	1.178306771	1.0439162	0.753293849	0.64979587	0.713515347	0.788036134	0.869748259	0.864056312	1.020626851	0.347334973	0.075159465	0.145247434
RP11-875O11.2	0.14438471	0.074629894	0	0	0	0.073009547	0	0.072118554	0.207043275	0.218254222	0.214662507	0.145247434
RP11-346I3.4	0.211496661	0.074629894	0.211914188	0.14201441	0.278894643	0.391165491	0.20805148	0	0.207043275	0.284237754	0.214662507	0.562319513
KCTD21-AS1	2.016905554	2.327973091	2.001171025	2.308223324	1.974624929	2.179643927	2.270658071	1.933312926	1.853771629	1.30449912	1.722261129	1.430138041
RP11-29H23.5	0.079182042	0.079857151	0.156398392	0.156413899	0.079459143	0.154056733	0.078399045	0.076543538	0	0.162713521	0	0.079593601
RP11-17A1.3	0.119229512	0.125928862	0.083803793	0.112431877	0.081132507	0.073009547	0	0.072118554	0.37668166	0	0	0.145247434
CASC8	1.178306771	0.801797532	1.180014983	1.321898685	1.571774279	1.596668457	0.828335061	0.5472856	1.126391647	1.396844587	1.834678343	1.149313729
KB-431C1.4	0.559409861	0.927930078	0.7074326	0.208101611	0.512509995	0.391165491	0.949170349	0.597023783	0.785258357	0.076479293	0.34185754	0.145247434
SBF2-AS1	0.578552093	0.215134544	1.197240014	0.770364062	0.449354826	0.746993326	0.700216103	0	0.788656213	0.717584152	0.214662507	0.84524812
CTD-2036P10.3	0.211496661	0.145588364	0.144676329	0.271293619	0.214061022	0.272184429	0.20805148	0.140802977	0.269942843	0	0	0.145247434
RP11-685M7.3	0.14438471	0.277822174	0.074150959	0	0.278894643	0.20879968	0.20805148	0.140802977	0.072366545	0.1491076	0.075159465	0
RP11-77I22.2	0.231100904	0.074629894	0.211914188	0.072753932	0.146176169	0.20879968	0.072735578	0.221096023	0.269942843	0.076479293	0	0
PRR7-AS1	0.275624948	0.145588364	0.337661456	0.208101611	0.074938644	0	0.141979423	0.140802977	0	0.817364089	0.849728785	0.662261759
EXTL3-AS1	0.120277718	0.145588364	0.337661456	0.072753932	0.074938644	0.174240617	0.141979423	0.072118554	0.072366545	0	0	0.277199973
RP5-1186N24.3	0.073997852	0.213219766	0.074150959	0.072753932	0.074938644	0.073009547	0.271229642	0.140802977	0.072366545	0.076479293	0	0.074450845
