id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
DHFR	-0.677744551	0.059211715	0.03419361	-2.386977831	19.12324612	1.46605504602072	1.22759235988996
FUBP1	-0.481640025	0.060628434	0.035028635	-2.373759486	20.26923099	1.45557678599142	1.21732364921418
WASHC4	-2.207373828	0.060737807	0.035125683	-2.408353102	19.42843305	1.45437522238231	1.21654089277654
IPO13	-0.539326422	0.060737807	0.035124275	-2.372264903	17.94693099	1.45439263126477	1.21654089277654
CRLF3	-0.652362291	0.061085073	0.035343537	-2.368853128	20.92504807	1.45168999068898	1.21406490278098
CCDC91	0.590174287	0.061096555	0.035367209	2.368486005	17.80465518	1.45139921114156	1.21398327726432
MAP4	-0.368037424	0.061327723	0.035518118	-2.36615111	25.44858366	1.44955005426362	1.21234315967078
MAP2K2	1.602484463	0.061387425	0.035569804	2.401203794	22.17767521	1.44891852789696	1.21192058345869
NIPSNAP3A	-0.425810494	0.061543455	0.035677365	-2.363697511	20.4568284	1.44760722851727	1.21081812646171
GOT2	-0.236542737	0.061611689	0.035734093	-2.362826028	25.45280718	1.44691723665206	1.21033688545549
GALNT7	0.359759338	0.061882643	0.03590849	2.360155106	25.8903232	1.4448028571534	1.20843114591315
SUN3	-0.468945441	0.062146455	0.036078892	-2.357557365	18.42221187	1.4427468083162	1.20658363963454
GALC	-0.304784969	0.062272223	0.036169262	-2.356184467	23.64947322	1.44166035252114	1.20570563051433
EPHA1	-0.396129236	0.062323865	0.036216627	-2.355466219	22.36203716	1.44109199972876	1.20534562182901
MAN2B2	0.350565421	0.062516777	0.036346153	2.353506653	23.08592792	1.43954154957211	1.20400341976346
CASTOR2	-0.838271866	0.063017768	0.036654984	-2.348861322	18.68529021	1.43586696572857	1.20053698298445
KLC3	0.535937304	0.063156089	0.036753042	2.347394219	16.22489391	1.43470670912023	1.19958477192386
PTPA	-0.359404858	0.063553612	0.037002089	-2.343684856	22.51974089	1.43177375659348	1.19685976175685
SYNPO	-1.201040226	0.063708315	0.037109916	-2.354745859	16.2802285	1.43051002869562	1.19580388127613
STUB1	-0.624346412	0.063993562	0.037293907	-2.339368791	18.7543009	1.42836211651378	1.19386371552413
KPNB1	0.399751823	0.064086852	0.037366136	2.338305505	25.69494796	1.42752180984748	1.19323106080174
PCSK5	0.441306799	0.064331643	0.037534858	2.335829379	23.26275281	1.42556522279568	1.19157535678054
PSMD5	-0.398673115	0.064331643	0.037544721	-2.335684951	22.16205539	1.4254511186263	1.19157535678054
SGSH	0.471512068	0.064478266	0.037648263	2.334171059	23.13146854	1.42425505630039	1.19058665043308
PPIL4	-0.752262506	0.064580283	0.037725828	-2.333039568	21.42567504	1.423361219627	1.1899000561744
RTN4	-0.429979428	0.064635746	0.037776243	-2.332305339	25.25373398	1.42278123660748	1.18952723437334
POLR2G	-0.634132593	0.064778608	0.037877793	-2.33082923	19.78062177	1.42161533367734	1.18856838859528
WDR18	-0.605285968	0.065206079	0.03814592	-2.326949913	20.64532067	1.41855190636554	1.18571191419005
CA12	0.762827812	0.065687922	0.038446108	2.322637561	20.04343087	1.41514761840289	1.18251447657352
AIMP1	-0.519539099	0.065872166	0.038572302	-2.320834335	22.92616468	1.41372444160935	1.181298055909
EHD1	-0.530278767	0.066040948	0.038689541	-2.319164126	21.00407163	1.4124064225752	1.18018670118432
NCAPD3	-0.590600787	0.066143629	0.03876813	-2.318047227	17.11340577	1.41152514689755	1.17951198100625
H2AZ2	0.415625054	0.066412907	0.038944469	2.315548991	20.90407278	1.40955421330198	1.17774750957552
LUC7L2	-0.458880069	0.066457637	0.038989221	-2.314916701	24.02190719	1.40905544187744	1.17745510476819
YIPF4	-0.533789817	0.066767281	0.039189491	-2.312095608	19.0892205	1.40683037717836	1.17543630941486
CLTB	0.744877724	0.066860595	0.039262897	2.311065033	18.72399559	1.40601765927761	1.17482976289052
TPD52L2	-0.363559594	0.067204924	0.039483829	-2.307974324	23.04919891	1.40358073764027	1.17259890570085
DDAH2	0.527564143	0.067238036	0.039522023	2.307441698	21.10129038	1.40316083343535	1.17238498064035
JMJD8	1.510533515	0.067513437	0.039702718	2.330137945	20.42729944	1.40117976094479	1.17060978221798
SMARCA2	-1.713291579	0.067656043	0.039805436	-2.330758746	17.63459272	1.40005761477068	1.16969340639313
EPS8L1	-0.576200072	0.067905843	0.039971333	-2.30121251	20.2232272	1.398251368255	1.16809285497604
ARID4B	0.450588803	0.068262901	0.040200532	2.298060619	22.25047298	1.39576819957385	1.16581525925221
RPS24	-0.627690433	0.06848518	0.040350522	-2.296007275	20.53843424	1.39415084259611	1.16440339844282
NCBP2	-0.632543613	0.06867483	0.0404814	-2.294221498	17.42923626	1.39274447636191	1.16320240697334
MARK3	-0.887674522	0.068894447	0.040630058	-2.292199805	18.0866125	1.39115255771144	1.16181578149508
PRRC2C	0.434218104	0.068955618	0.040696776	2.291294758	22.41470236	1.39043999423593	1.16143034490502
ACE	0.517645567	0.068955618	0.040704571	2.291189122	16.59789865	1.39035681808169	1.16143034490502
RPL10	-0.867021047	0.069162274	0.040845836	-2.289277836	20.65181009	1.38885221072025	1.16013073590974
SELENOF	-0.614846264	0.06918127	0.040876336	-2.288866007	17.15705634	1.38852803964185	1.16001146965717
