id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
DIS3L2	-1.329126193	0.002262681	0.000575129	-4.624576362	17.34272818	3.24023473321528	2.64537666995388
TRIM25	-1.119763704	0.002268222	0.00057717	-4.622532256	21.67303611	3.23869625064344	2.6443144415531
FASN	-0.698841265	0.002270229	0.000578942	-4.620763385	27.31665376	3.23736494290756	2.64393033293013
BZW1	-0.748612867	0.002270229	0.000578946	-4.620759366	22.93734494	3.23736194231005	2.64393033293013
MGAM2	0.992912001	0.002271429	0.000579886	4.619824238	19.1643137	3.23665737615632	2.64370083375146
HCLS1	-1.249786377	0.002272161	0.000580706	-4.619008997	18.09593608	3.23604368670401	2.64356089878219
BPGM	-1.115121643	0.002279778	0.000583288	-4.616449731	17.66300465	3.23411695823035	2.64210744162634
NOP14	-1.656142009	0.002280132	0.000584014	-4.615732266	19.72260789	3.2335767418433	2.64204001036261
WDR13	-1.277458859	0.002287912	0.000586644	-4.613140708	19.23261651	3.2316253667892	2.64056068383416
GPI	-0.4405987	0.002298483	0.000590786	-4.609084037	28.52098601	3.22856980482046	2.63855870402309
PRRC2C	-0.873456717	0.002298483	0.000590788	-4.609081882	22.41470236	3.2285683345969	2.63855870402309
CCDC194	-1.007835463	0.002298483	0.000591277	-4.608605858	19.90712987	3.22820901423167	2.63855870402309
SMG1	-1.075077401	0.00231634	0.000596727	-4.603317726	17.93490832	3.22422431126647	2.63519769309387
ARL6IP4	-0.827462158	0.00231634	0.000597786	-4.602295705	22.97194281	3.22345426024679	2.63519769309387
ZYX	-1.02947663	0.00231634	0.000597807	-4.602275877	20.99694643	3.22343900391103	2.63519769309387
METAP2	-0.901064767	0.002316548	0.000598506	-4.601602198	21.09383958	3.22293149145	2.63515869657494
PRPF40A	-0.93572858	0.002322251	0.000600627	-4.599564595	24.25671947	3.22139514884791	2.63409084143479
C1QTNF3	1.159108281	0.002349281	0.000608272	4.592589136	24.27946278	3.21590217453719	2.6290650336904
ADAM17	0.652547473	0.002380132	0.000616924	4.584151226	24.62190053	3.20976833420598	2.62339895669058
NOC2L	-2.396228857	0.002380473	0.000617676	-4.611121982	20.1230299	3.20923927298651	2.62333674005274
GSPT1	-0.881161641	0.002388252	0.000620941	-4.580417178	23.38022098	3.20694966325615	2.62191984988971
PPAT	-1.000505316	0.002388252	0.000621025	-4.580338954	23.07070284	3.20689091650054	2.62191984988971
NDRG3	-1.255993872	0.002397423	0.000624078	-4.577518416	18.67952016	3.20476112689998	2.62025533252523
CPNE8	0.83084163	0.002400827	0.000625774	4.57595832	24.0777931	3.20358248511936	2.61963913342581
QSOX2	-0.781115078	0.002400827	0.000626303	-4.575472284	23.34243244	3.20321550801716	2.61963913342581
GPATCH1	-1.45832263	0.002401385	0.000627118	-4.574724677	18.07377154	3.20265073360755	2.61953820646882
PLD3	-0.395275109	0.002406252	0.000630291	-4.571822907	26.49855124	3.20045889417257	2.61865889217554
SMPDL3B	0.653538011	0.002406252	0.000630326	4.571790776	23.69145469	3.20043477851036	2.61865889217554
PEPD	-0.514671463	0.002406252	0.0006304	-4.571722823	25.53512092	3.2003837955185	2.61865889217554
LTBP2	0.496409719	0.002408873	0.000632018	4.57024956	23.77682861	3.19927055274712	2.61818609616318
SEC13	-1.016769711	0.002408873	0.00063243	-4.569875298	22.14043698	3.19898753702346	2.61818609616318
ECPAS	-1.009767353	0.002409704	0.00063332	-4.569067213	20.47511577	3.1983767969048	2.61803630143414
FBN2	0.754127302	0.002410851	0.000634293	4.568184436	23.72524075	3.19771008141059	2.61782962988693
ARHGEF16	-1.026675838	0.00241531	0.000636139	-4.56651409	19.19496748	3.19644797816095	2.61702712054427
BOD1L1	-0.985299247	0.002422091	0.0006386	-4.564295515	23.07800326	3.19477108579657	2.61580954407677
OGFOD1	-1.816807438	0.002428275	0.000640908	-4.562223444	18.92619415	3.19320430739211	2.61470213134491
DCTN2	-0.75734615	0.00243273	0.000642761	-4.560564342	22.36892835	3.19195048224882	2.61390608918549
CPA4	0.76207418	0.00245304	0.000649333	4.55472302	23.23581818	3.1875325251209	2.61029537000085
DNAJA1	-0.746842363	0.00245304	0.000649777	-4.554330657	23.16975372	3.18723566533617	2.61029537000085
PODXL	0.603223157	0.00245304	0.000650596	4.553606879	24.43884663	3.18668861117908	2.61029537000085
FGFR2	0.793706256	0.00245304	0.000650862	4.55337223	22.1125304	3.18651108361569	2.61029537000085
HSPBP1	-1.120996342	0.002456859	0.000652732	-4.551725527	20.02884948	3.18526509561909	2.60961976711743
OSBP	-0.736471207	0.002456859	0.000653245	-4.551274584	23.22672396	3.18492390571961	2.60961976711743
RBM15B	-0.66771914	0.002459828	0.00065472	-4.549979939	23.79217054	3.18394439230395	2.60909525926346
RRP12	-2.344414756	0.002468813	0.0006578	-4.574449623	20.22800461	3.18190613085336	2.60751180441549
HSP90AB1	-0.624213533	0.002473051	0.000659618	-4.545702921	30.42713683	3.18070750161149	2.6067669273952
TMED8	-1.714095362	0.002478023	0.000661635	-4.543951321	20.83867352	3.17938152899236	2.60589466699679
SUB1	-0.653038695	0.002480343	0.000662946	-4.542815987	27.80403833	3.17852184543705	2.60548825759839
USP9X	-0.627721703	0.002483971	0.000664608	-4.541379736	24.0325879	3.177434435349	2.60485347879075
ZFYVE16	0.710723872	0.002492102	0.000667478	4.538908336	26.65407187	3.1755630440249	2.60343418627828
NAP1L1	-0.778043282	0.002504503	0.000671497	-4.535465508	24.92895074	3.1729559232579	2.60127844375779
UTP18	-1.352964754	0.002510963	0.000673929	-4.533393177	18.05535064	3.17138585499647	2.60015968673519
WNT5A	-0.530687669	0.002514744	0.000676271	-4.531404754	23.75038876	3.16987923568572	2.59950621937393
EIF4E	-0.906497116	0.002514744	0.000676346	-4.531341447	21.41440638	3.16983107410535	2.59950621937393
ANAPC1	-0.851928385	0.002516366	0.000677483	-4.530378171	18.03396906	3.16910159801639	2.59922619143813
PUM3	-1.588928091	0.002518018	0.00067863	-4.529409038	19.87967317	3.16836694553606	2.59894116967187
COPS5	-0.834346632	0.002521541	0.000680282	-4.528015546	22.00106769	3.16731102015232	2.59833396586337
ZDHHC3	-0.894312098	0.002523984	0.000681644	-4.526869073	16.95811382	3.16644238370431	2.59791340249198
YARS2	-0.910621429	0.002531139	0.000684282	-4.524656203	16.31815018	3.16476488394566	2.59668400447612
CSF1	-0.553687996	0.002532226	0.000686734	-4.522607148	23.51359165	3.1632114502804	2.59649753634314
S100A2	-1.007729428	0.002532226	0.000687956	-4.52158878	22.71336974	3.16243933729977	2.59649753634314
MAGI1	-1.270418062	0.002532226	0.000688321	-4.521285307	17.66609554	3.16220898034457	2.59649753634314
HAUS4	-1.047646796	0.002532226	0.000688536	-4.521106652	20.33949933	3.16207334779251	2.59649753634314
ST6GALNAC2	-1.222164962	0.002532226	0.000688716	-4.520956414	17.22263109	3.1619598275258	2.59649753634314
QPCT	0.587746305	0.002532226	0.000688811	4.520878131	24.41174473	3.16189992601265	2.59649753634314
CD46	-0.61068447	0.002533957	0.000689988	-4.519900298	24.23555137	3.16115846227593	2.59620075915312
ACACA	-0.914313408	0.002539392	0.000692176	-4.518087336	19.56138209	3.15978346318732	2.59527025292849
UNC45A	-1.108544512	0.002549644	0.00069568	-4.515195532	17.35944323	3.15759048192982	2.59352045471462
ERP44	-0.648531544	0.002552145	0.000697074	-4.514049679	23.16715243	3.15672111560965	2.59309465482903
GBE1	-0.864456769	0.002556705	0.000699032	-4.5124441	23.62683735	3.1555029428447	2.59231937923339
NRP1	-0.526844633	0.002565009	0.000702628	-4.509507975	23.59462484	3.15327454739456	2.59091110671455
CRELD2	0.864224311	0.002565009	0.000702732	4.509422611	18.18881005	3.15321026973445	2.59091110671455
CC2D1B	-1.399064302	0.002578199	0.000707065	-4.50590604	16.99128546	3.15054065997433	2.5886835643812
G3BP2	-1.634167446	0.002581247	0.000710778	-4.61316072	24.15499337	3.14826602294111	2.58817043574885
KANK1	-1.738185144	0.002581247	0.000709497	-4.50394141	18.38507701	3.14904943655069	2.58817043574885
