id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(pvalue)	-log10(padj)
BCAP31	3912.814017	-0.893463724	0.067924416	-13.15379319	1.61847e-39	1.58067e-37	38.7908953462801	36.8011587892318
MICALL1	2882.207284	0.916489112	0.069788643	13.13235318	2.14874e-39	2.0865e-37	38.667816131459	36.6805816109523
UTP14A	1549.102905	-0.818799085	0.062453284	-13.11058502	2.86381e-39	2.76497e-37	38.5430557987555	36.5583095764407
HSPA5	11388.97768	-0.524465537	0.040135379	-13.06741221	5.05563e-39	4.8534e-37	38.2962247177237	36.3139539142001
RPS4X	48866.89906	-0.622168067	0.048020178	-12.95638829	2.16189e-38	2.06369e-36	37.6651664073338	35.6853555402816
CLSTN2	2305.464304	1.474779885	0.113948446	12.94251861	2.58997e-38	2.45844e-36	37.5867052663859	35.6093403865143
ANGPTL2	1349.585502	-1.797869727	0.139141028	-12.92120483	3.41748e-38	3.22579e-36	37.4662940183593	35.4913639087418
QPCT	832.0119056	1.109176959	0.085873159	12.91645699	3.63498e-38	3.41203e-36	37.4394979743272	35.4669871589883
FOXJ1	89.99729647	-3.302080318	0.257785979	-12.80938681	1.45278e-37	1.35614e-35	36.8378001475877	34.8676954741202
IGFBP7	734.1417525	1.57737438	0.123254179	12.7977355	1.68802e-37	1.56708e-35	36.7726224120716	34.8049088320753
CCDC80	3079.969205	-0.584385249	0.045860519	-12.74266534	3.42491e-37	3.16215e-35	36.4653508364393	34.5000175326874
FBXO2	730.8347985	1.261718417	0.099266472	12.71041868	5.17566e-37	4.75261e-35	36.286034261121	34.3230678225235
ITGA2	325.0118433	1.547522245	0.121898241	12.69519748	6.28712e-37	5.74201e-35	36.201548250348	34.2409360554931
KRT80	9852.016594	0.716156561	0.056786568	12.6113725	1.82782e-36	1.66037e-34	35.7380665749347	33.7797951221691
ITGB3	2403.394861	0.954580342	0.075784104	12.59604975	2.21987e-36	2.00572e-34	35.6536724579529	33.697729694916
AIFM1	1029.704039	-1.321311399	0.10494195	-12.59087901	2.37019e-36	2.13015e-34	35.6252168385282	33.6715898135197
CYGB	312.7971298	1.626448431	0.129594609	12.55027851	3.96114e-36	3.54114e-34	35.4021798078979	33.4508569029438
CAPN2	3487.825705	0.559401108	0.044683463	12.51919782	5.86246e-36	5.21327e-34	35.2319201074903	33.2828897819839
MAP3K14	1053.93314	1.113553219	0.088968444	12.51627169	6.08258e-36	5.3807e-34	35.2159121703823	33.2691612212924
NDUFA3	3732.681108	-0.768130833	0.06139213	-12.5118778	6.42863e-36	5.6572e-34	35.1918815693517	33.247398467298
RCAN1	632.180699	1.414282451	0.113261994	12.48682277	8.81022e-36	7.71283e-34	35.0550132466852	33.1127862409019
MARVELD1	982.9574079	1.008199848	0.080752069	12.4851271	8.99995e-36	7.83831e-34	35.0457599033145	33.1057775644574
COL5A2	1383.888624	1.287269268	0.103144746	12.48022145	9.57201e-36	8.29378e-34	35.0189968563454	33.0812474888723
FBLIM1	5696.251557	0.762328079	0.061206453	12.45502786	1.31306e-35	1.13191e-33	34.8817154284623	32.9461881032337
PCYOX1L	404.3213931	-1.219211981	0.097904404	-12.45308619	1.3454e-35	1.1539e-33	34.8711485766532	32.9378318266482
HID1	3116.244035	-0.89172468	0.071633975	-12.44834846	1.42769e-35	1.21829e-33	34.8453660824092	32.914249320563
TLL2	556.9559548	1.428523805	0.114894346	12.43336901	1.7222e-35	1.46223e-33	34.763916415105	32.8349843100905
FAM107A	8368.869768	0.885341161	0.071315263	12.41446958	2.18128e-35	1.84274e-33	34.6612885826332	32.7345359369084
PRPF31	2869.39653	-0.557062149	0.044899624	-12.40683316	2.39957e-35	2.01707e-33	34.6198665763545	32.6952790298555
ASPH	4304.305454	0.705400189	0.056996657	12.37616782	3.51741e-35	2.94208e-33	34.4537770060477	32.5313455222658
ZNFX1	2093.440105	0.915909018	0.074120288	12.35706227	4.46166e-35	3.71351e-33	34.3505035281243	32.4302154022482
IGF2BP1	173.3546696	-3.820834115	0.309439588	-12.34759306	5.01907e-35	4.15697e-33	34.2993767472544	32.3812231096967
ALDH1A3	246.2832213	4.207555361	0.341909757	12.30604062	8.40462e-35	6.92704e-33	34.075481917636	32.1594523045345
PDIA6	5077.424976	-0.633651653	0.051713178	-12.253195	1.61505e-34	1.32466e-32	33.7918140278914	31.8778955776307
FOS	666.766491	-1.618302916	0.132227484	-12.23877871	1.92914e-34	1.57462e-32	33.7146362539418	31.8028242366775
SIRPA	1294.911564	0.840649518	0.068689879	12.23833168	1.93979e-34	1.57571e-32	33.7122452838727	31.8025237087937
OPTN	639.308101	1.04342433	0.085323634	12.22901885	2.1755e-34	1.75872e-32	33.6624409123713	31.7548032976286
UGCG	1299.701977	0.941305449	0.077299488	12.17738274	4.10236e-34	3.30064e-32	33.3869662310585	31.4814018414799
ST6GALNAC2	292.5714828	-1.370320698	0.112817288	-12.14637155	5.99685e-34	4.80202e-32	33.2220768140915	31.3185760354761
CHST3	1092.458624	0.751349478	0.061939836	12.13031107	7.29717e-34	5.81571e-32	33.136845536	31.2353972576751
MALL	1600.027436	0.985875822	0.081332254	12.12158497	8.11739e-34	6.43904e-32	33.0905835878534	31.1911788770161
CACNG7	144.6071107	-2.238082559	0.184724934	-12.11575779	8.71549e-34	6.88116e-32	33.0597081910768	31.1623383438671
IQGAP2	511.2920788	-1.59690267	0.131861007	-12.11049955	9.29265e-34	7.30272e-32	33.0318604198856	31.1365153507054
CCT4	5222.312574	-0.648281741	0.053545915	-12.10702529	9.69466e-34	7.58338e-32	33.0134674173963	31.1201371811533
ZNF385A	4825.260536	0.760773494	0.062966147	12.08226217	1.31064e-33	1.02048e-31	32.8825165817529	30.9911955024371
S100A3	215.9959079	1.873759469	0.155120166	12.07940601	1.35696e-33	1.05171e-31	32.8674329541349	30.9781039966484
SQLE	1159.875649	-0.886221854	0.073462937	-12.06352326	1.64588e-33	1.26981e-31	32.7836018320871	30.8962612570949
SREBF2	3703.863502	-0.641146432	0.053200451	-12.05152256	1.904e-33	1.46227e-31	32.7203330559515	30.83497242992
CPSF3	1155.849243	-0.878199655	0.073015948	-12.02750463	2.54744e-33	1.94758e-31	32.5938960361638	30.7105046939404
UBE2D2	2442.75694	-0.694322711	0.05776609	-12.0195552	2.80477e-33	2.13466e-31	32.5521027464671	30.6706712877971
SULT1A1	99.4576134	-2.702411389	0.224922935	-12.01483252	2.96971e-33	2.25005e-31	32.5272859586117	30.6478078310074
ADM2	381.4243823	1.26500967	0.105374833	12.0048557	3.35048e-33	2.52722e-31	32.4748929701517	30.5973569501548
