id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	-log10(pvalue)	-log10(padj)
EPHA3	1107.337923	3.461915034	0.086977119	39.80259473	0	0	Inf	Inf
PRSS12	2290.539966	2.522501397	0.050952316	49.50709963	0	0	Inf	Inf
FBN1	5835.127179	3.744213498	0.049965619	74.93579707	0	0	Inf	Inf
PLAU	10736.96763	1.381749627	0.038403436	35.97984369	1.7289e-283	7.3029e-280	282.762230125699	279.136504646195
FN1	67605.34677	1.931220331	0.053980362	35.77635032	2.5763e-280	8.7058e-277	279.589003566484	276.060191314194
LAMB3	2329.328942	2.192230075	0.062739563	34.94174912	1.7281e-267	4.8663e-264	266.762431129802	263.312801120985
CLDN6	532.4131625	-5.528459119	0.160047392	-34.54263791	1.8385e-261	4.4377e-258	260.735536365795	257.352842060542
CXCL14	586.402058	5.527847237	0.168273322	32.85040771	1.1238e-236	2.3736e-233	235.949310972241	232.624592466691
SMR3B	451.5139871	3.485866334	0.106763599	32.65032629	7.9282e-234	1.4884e-230	233.100825402695	229.82728033865
CILP	958.6838352	-3.027932086	0.094147392	-32.16161393	6.0774e-227	1.0268e-223	226.216282178483	222.988514140001
CDH6	15616.29449	-1.600115477	0.051581948	-31.02084219	2.8226e-211	4.3354e-208	210.549350662803	207.362970826728
CA2	6430.818793	-2.998474657	0.099391721	-30.16825375	6.1816e-200	8.7037e-197	199.208899100763	196.060296086693
KRT75	480.7982298	3.247593884	0.115563166	28.10232703	9.1752e-174	1.1925e-170	173.037384460269	169.923541612288
CRHR1	998.9671405	-3.773212072	0.13450776	-28.05200285	3.776e-173	4.5571e-170	172.422968014374	169.34131144125
KRT6A	510.5533069	3.26077588	0.119697399	27.24182736	2.077e-163	2.3395e-160	162.682563503465	159.630876950472
LGALS14	493.6836736	-3.274270071	0.124979116	-26.19853771	2.7613e-151	2.916e-148	150.5588864071	147.535212480354
LAMC2	5164.257232	1.606276903	0.062368014	25.75481898	2.8467e-146	2.8293e-143	145.545658298645	142.548321000427
PI3	635.6077828	2.300010202	0.090058605	25.53903879	7.268e-144	6.8222e-141	143.138585081364	140.16607555294
TSPAN18	3062.017188	2.208220564	0.087975961	25.10027217	4.9394e-139	4.3924e-136	138.306325802598	135.357298117127
MKX	1313.195484	1.763867573	0.072044208	24.48312826	2.2345e-132	1.8877e-129	131.650819641004	128.724067024178
TMTC1	2243.761853	-1.673865551	0.068955631	-24.27453036	3.6428e-130	2.9309e-127	129.438564672096	126.532998999095
PLSCR1	2507.17089	1.737071821	0.07293675	23.81613965	2.2727e-125	1.7454e-122	124.643457888051	121.758105028369
CD44	4110.809787	1.910957615	0.083171319	22.97616102	8.0715e-117	5.9294e-114	116.093045748898	113.226989250965
ICAM1	4218.031327	1.35265712	0.059014238	22.92086038	2.8784e-116	2.0264e-113	115.540848853999	112.693274823218
TNF	673.7476663	1.968418239	0.086121508	22.85629092	1.2653e-115	8.5517e-113	114.89780649196	112.067947542906
PTRF	2960.342379	1.420816408	0.062603591	22.69544568	4.9688e-114	3.229e-111	113.303748483763	110.490931954983
SERPINB7	393.0273769	-2.433294685	0.107416271	-22.6529431	1.305e-113	8.1662e-111	112.884389488326	110.087979987892
SIM2	1447.662191	1.374689758	0.061022677	22.52752304	2.2309e-112	1.3462e-109	111.651519896512	108.870890413779
S100A1	3154.636289	2.134010878	0.095808655	22.27367533	6.6516e-110	3.8753e-107	109.17707387536	106.411694671661
TMEM100	241.3244226	-3.665000539	0.166369145	-22.02932845	1.5079e-107	8.4926e-105	106.82162745879	104.070959330629
CDC42EP1	5301.556687	1.179323469	0.054609318	21.59564545	1.9737e-103	1.0757e-100	102.704718858883	99.9683088313749
IL32	389.2728909	2.729659182	0.127054904	21.48409154	2.1931e-102	1.158e-99	101.658941565104	98.9362914406086
SLC7A8	1511.201503	-1.524433995	0.071358768	-21.36295292	2.9553e-101	1.51309e-98	100.52939842621	97.820135238969
ADAMTS15	2524.747954	-1.074182869	0.05116858	-20.9930168	7.59678e-98	3.77515e-95	97.1193704504247	94.4230657876433
MCAM	2242.720157	1.125580443	0.054056038	20.82247381	2.70836e-96	1.30744e-93	95.5672936089595	92.8835782323015
CLDN1	13662.41926	1.23552918	0.059737994	20.68246847	4.9825e-95	2.33845e-92	94.3025526926275	91.6310719116038
SLC7A5	19210.32608	0.823711485	0.040117326	20.53256223	1.10208e-93	5.03262e-91	92.9577868788985	90.2982058608076
VIM	4086.063141	2.066180718	0.103807091	19.90404223	3.75398e-88	1.66914e-85	87.42550804549	84.7775072351137
BCHE	466.7113782	2.489683654	0.129995308	19.1521039	9.29544e-82	4.02707e-79	81.03173004806	78.3950108212618
PGRMC1	1820.179401	-1.054405507	0.05509162	-19.13912698	1.19251e-81	5.03718e-79	80.9235379704207	78.2978125296644
PLAGL2	2528.824169	1.136577616	0.05994492	18.96036592	3.62613e-80	1.49432e-77	79.4405566301162	76.8255563909056
COL26A1	2676.169305	-0.989765536	0.05267348	-18.79058573	9.01786e-79	3.62775e-76	78.0448965112893	75.4403626492198
GFRA1	1074.166103	1.991488303	0.10617974	18.75582199	1.73514e-78	6.8179e-76	77.7606654783518	75.1663493729761
G6PD	4889.918365	-1.346854578	0.071819189	-18.75340831	1.81573e-78	6.97239e-76	77.7409487308303	75.1566183286603
TSHR	1012.644665	-2.566361067	0.137508136	-18.66333982	9.83854e-78	3.69404e-75	77.007069344352	74.4324984062198
RPL39	7591.772663	-1.305912197	0.070096307	-18.63025684	1.82646e-77	6.70866e-75	76.7383898345221	74.1733642179416
APOE	209.3529033	-2.863219838	0.153837988	-18.61191686	2.57247e-77	9.24777e-75	76.5896496812537	74.0339629800668
F2R	2220.396991	1.492593091	0.080917185	18.44593448	5.62187e-76	1.9789e-73	75.2501192012287	72.7035761514962
PLEC	22570.8738	1.157903636	0.063073714	18.35794278	2.85209e-75	9.83446e-73	74.5448367740913	72.0072494817496
SHB	2345.162678	1.057204578	0.057844373	18.27670567	1.26861e-74	4.28689e-72	73.8966718695366	71.367857660181
IDH1	1054.573391	-1.399431606	0.0771773	-18.13268407	1.75957e-73	5.82936e-71	72.754593451188	70.2343791234101
HMGB3	2449.217944	-1.54991718	0.085914456	-18.04023733	9.41388e-73	3.05879e-70	72.0262313420046	69.5144503383052
EEF1A2	9510.282014	1.534670775	0.085121478	18.02918381	1.14976e-72	3.66536e-70	71.9393928044754	69.4358833639054
ATF5	3801.085617	1.538082105	0.085432411	18.00349631	1.829e-72	5.72273e-70	71.7377862945236	69.2423967437432
FAM132B	677.2779364	1.976434728	0.110154665	17.94236071	5.50653e-72	1.69161e-69	71.2591219903641	68.7716997561735
MTMR1	1586.526379	-1.144282281	0.064111009	-17.84845212	2.97159e-71	8.96571e-69	70.5270111118095	68.0474153126972
TACR1	664.1269031	-3.416018816	0.191612463	-17.8277486	4.30407e-71	1.27582e-68	70.3661206740595	67.8942105940483
YWHAQ	10077.41352	-0.838530027	0.047115767	-17.7972274	7.42553e-71	2.16313e-68	70.1292725429723	67.664917379504
FAM129A	1960.713218	1.361285176	0.077068085	17.66340994	8.02422e-70	2.29792e-67	69.0955971727747	66.6386650949529
ARHGEF2	1707.698955	1.808776454	0.102581366	17.63260246	1.38445e-69	3.89862e-67	68.8587227243649	66.4090890936004
VTCN1	703.1140952	-1.934509753	0.110418925	-17.51973001	1.01305e-68	2.80598e-66	67.9943691191134	65.551915428789
EHD4	2960.288607	0.896672184	0.051392003	17.44769871	3.58384e-68	9.76653e-66	67.4456513875892	65.0102597115663
CA12	837.1576959	1.383781307	0.079757498	17.34985858	1.9773e-67	5.30294e-65	66.7039274336402	64.2754832866692
SAMD4A	1561.346695	1.581186323	0.091280369	17.32230422	3.19312e-67	8.42983e-65	66.4957847600204	64.074181183478
SLC25A5	8999.133993	-1.191293162	0.068949261	-17.27782348	6.91071e-67	1.79636e-64	66.1604773313173	63.7456066240461
SCARA3	2752.588128	-0.968745371	0.056266635	-17.21704815	1.97824e-66	5.06429e-64	65.7037210209528	63.2954814329683
VIT	261.6897694	-4.998604727	0.291616819	-17.14100287	7.33742e-66	1.85034e-63	65.1344566208378	62.7327484626474
CX3CL1	2351.561727	1.198757569	0.070213063	17.07314158	2.35196e-65	5.84393e-63	64.6285700686193	62.2332949947904
CTGF	11814.51689	0.824683343	0.048555262	16.9844278	1.07093e-64	2.62238e-62	63.9702389153561	61.5813043759772
THBS1	8469.542143	1.861799155	0.110013788	16.92332565	3.02837e-64	7.30962e-62	63.5187910647263	61.1361051998127
ITGA11	174.3876823	3.356566578	0.198368902	16.92083052	3.15944e-64	7.51857e-62	63.500389887781	61.1238647525154
CETN2	951.3319072	-1.17897186	0.06980149	-16.89035369	5.29844e-64	1.24337e-61	63.2758519792895	60.9053996154878
CKB	11373.45968	1.282129344	0.076302028	16.80334546	2.30659e-63	5.33866e-61	62.637029595146	60.2725677369105
TGFBI	542.3528212	2.066567185	0.123831289	16.68857042	1.58726e-62	3.6241e-60	61.7993519281181	59.4407998273172
FSTL1	17290.20645	1.074493339	0.064458337	16.66957905	2.18125e-62	4.91392e-60	61.6612945556967	59.3085719182347
GREM2	114.0651809	5.841113511	0.351159263	16.63380161	3.96612e-62	8.8173e-60	61.4016341498006	59.0546643825118
LINC01133	126.6878899	3.415993873	0.205948777	16.58661885	8.70871e-62	1.91094e-59	61.060046171212	58.7187529487786
POFUT1	4233.718193	0.888959286	0.053621425	16.57843464	9.97945e-62	2.13434e-59	61.0008933934368	58.6707363963632
CLIC5	275.4540662	-2.5798271	0.155612756	-16.57850658	9.96752e-62	2.13434e-59	61.0014128842454	58.6707363963632
SCNN1A	3958.257424	-1.149576302	0.069380697	-16.56910851	1.16541e-61	2.46134e-59	60.9335212596917	58.6088283903912
LMO3	781.7012962	-1.775316209	0.107396984	-16.53041032	2.2163e-61	4.62303e-59	60.6543714535437	58.3350732883071
CD55	3240.894669	1.355817926	0.082822235	16.37021659	3.12101e-60	6.43081e-58	59.5057048398134	57.1917343215742
PARM1	630.8013082	-1.790091722	0.109804406	-16.30254905	9.46605e-60	1.92697e-57	59.0238312059037	56.7151250465982
CXXC5	1602.956418	-1.097454418	0.067425736	-16.27649146	1.44944e-59	2.91545e-57	58.8387997576862	56.5352944023343
DUSP7	636.1008911	1.34906515	0.083003384	16.25313427	2.12231e-59	4.21866e-57	58.6731911795976	56.3748254748727
S1PR5	594.9744778	-1.434074907	0.08882606	-16.14475416	1.2364e-58	2.4291e-56	57.9078410036087	55.6145546060042
CBX4	1885.18985	1.087276328	0.067397703	16.13224612	1.51412e-58	2.94053e-56	57.8198397039161	55.5315743854617
C12orf39	130.2667802	3.207759789	0.198889814	16.12832616	1.61334e-58	3.09761e-56	57.7922740984737	55.5089732623386
IL18	198.6616053	-2.511090669	0.155721267	-16.1255474	1.68757e-58	3.20373e-56	57.7727382036921	55.4943440919795
COTL1	13231.9988	1.382819149	0.086565253	15.97429802	1.93015e-57	3.62354e-55	56.7144089388467	54.4408669401734
CDR2L	3065.483862	-0.84709771	0.053225231	-15.91534103	4.9596e-57	9.20851e-55	56.3045533486707	54.0358106359408
F2RL1	1869.428934	0.843916713	0.0530577	15.90564076	5.79078e-57	1.06349e-54	56.2372629342206	53.9732665894145
SCD	3006.874666	-1.5991047	0.100953937	-15.83994399	1.64968e-56	2.99709e-54	55.7826002907632	53.5233002153738
LTBP3	15510.35254	1.078159741	0.068276533	15.79107326	3.58429e-56	6.44257e-54	55.445596859416	53.1909408540423
GDF15	925.1699921	1.441097526	0.091828775	15.69331099	1.68056e-55	2.98893e-53	54.774545977569	52.5244842559108
SLC43A2	2303.805603	1.087738551	0.069466015	15.65857143	2.90346e-55	5.11009e-53	54.5370841527197	52.2915714509105
CACNG4	3635.917417	-0.908750449	0.058051775	-15.65413718	3.11307e-55	5.42251e-53	54.5068111137306	52.2657996384026
AEBP1	368.9323073	1.865481389	0.119181622	15.65242493	3.19798e-55	5.51358e-53	54.4951242566363	52.2585663195922
HTR6	235.072518	-2.500283306	0.161645613	-15.46768426	5.73327e-54	9.78478e-52	53.2415976052777	51.0094489345292
CNN3	8766.321212	0.762260626	0.049450624	15.41458041	1.30616e-53	2.2069e-51	52.8840036202578	50.6562173453305
PALD1	687.5899909	1.42932821	0.093111035	15.35079286	3.49884e-53	5.85311e-51	52.4560759171072	50.2326133139271
CD74	1669.869123	-1.10808031	0.072197422	-15.34792075	3.65721e-53	6.05807e-51	52.4368501014003	50.217665712773
TMCC3	3404.259807	-0.829952642	0.054374729	-15.26357288	1.33721e-52	2.19355e-50	51.8738003843016	49.658852461794
CRABP2	2911.267639	-1.39534708	0.091506577	-15.24859879	1.68204e-52	2.73267e-50	51.7741636806114	49.5634128109829
SMURF2	4992.130372	0.809344752	0.053233676	15.20362324	3.34591e-52	5.38405e-50	51.4754857450918	49.2688909156074
TPM1	13636.84127	0.93425631	0.061621583	15.16118648	6.39044e-52	1.01861e-49	51.1944692383998	48.9919920645397
S100A2	2751.953841	1.697497828	0.112635258	15.07075008	2.52233e-51	3.98292e-49	50.5981980946847	48.3997984166405
CHRDL1	1787.094606	-1.895056245	0.125918912	-15.04981437	3.46204e-51	5.41617e-49	50.4606679186446	48.2663077126938
SDC4	3819.959024	0.792653437	0.052707233	15.03879805	4.08907e-51	6.33844e-49	50.3883754547786	48.1980176163702
IL6	390.7339749	1.844494423	0.12311972	14.98130778	9.72837e-51	1.49428e-48	50.0119599201948	47.8255680162681
SEPT6	877.670206	-1.264630282	0.084421576	-14.97994162	9.93042e-51	1.51157e-48	50.0030323829422	47.8205717360748
KLHL13	573.5135006	-1.627405352	0.109062549	-14.92176154	2.37909e-50	3.58855e-48	49.6235891284696	47.4450809982758
ERP27	628.6349235	-2.240569421	0.150160366	-14.92117718	2.40002e-50	3.58855e-48	49.6197851391828	47.4450809982758
ITPR3	4680.238348	0.986270918	0.066136081	14.91275124	2.72297e-50	4.03573e-48	49.5649571434218	47.3940778968039
HCK	684.63849	1.295159302	0.087247542	14.84465093	7.5346e-50	1.107e-47	49.1229397987447	46.9558523791213
TRIM47	886.8513177	1.142760554	0.077041335	14.83308342	8.95245e-50	1.30397e-47	49.0480580958715	46.8847324001565
GUCY1B3	734.6438268	-1.117485038	0.075501279	-14.80087559	1.44588e-49	2.088e-47	48.8398677495729	46.6802695056698
TUSC3	2447.361772	-1.006527412	0.06811417	-14.77706336	2.05952e-49	2.94895e-47	48.6862339862531	46.5303325909301
STAC	356.0801233	1.706383172	0.115736336	14.74371169	3.37703e-49	4.79481e-47	48.4714650812726	46.3192285975833
CTSB	107497.7689	0.824646563	0.056055801	14.71117248	5.46522e-49	7.69503e-47	48.2623923510312	46.1137896826799
PLCB4	1309.004293	1.827794453	0.124686424	14.65912966	1.17773e-48	1.63106e-46	47.9289542621382	45.7875300627552
UXS1	2286.621659	0.711705899	0.048550033	14.65922584	1.17606e-48	1.63106e-46	47.9295705209434	45.7875300627552
TMEM178A	308.5565748	-1.569308632	0.107208047	-14.6379743	1.60788e-48	2.20867e-46	47.7937463668329	45.6558691677343
C15orf52	733.5788949	1.271813623	0.087080268	14.60507251	2.60705e-48	3.55231e-46	47.5838506395199	45.4494891415942
PYGL	3327.6863	0.777331688	0.053253454	14.59683148	2.94204e-48	3.9767e-46	47.531351426897	45.4004771707085
GPX3	10576.82628	-0.749358031	0.05143339	-14.56948549	4.39186e-48	5.88928e-46	47.3573515124096	45.2299377970873
MYL9	4259.248746	1.234266284	0.084769118	14.56032947	5.02152e-48	6.6806e-46	47.2991648032349	45.1751845307898
AMOT	1137.811596	-2.129924197	0.147016755	-14.48762893	1.45064e-47	1.91485e-45	46.8384403514574	44.7178652408723
CLDN11	184.6701226	2.279912728	0.157696048	14.45764025	2.24359e-47	2.93858e-45	46.6490565043705	44.5318624815412
SSX2	141.3190693	-3.369844285	0.233197164	-14.45062294	2.48429e-47	3.22881e-45	46.604797708798	44.4909575103806
EGR1	8145.858857	-1.428362736	0.10029331	-14.2418546	5.03723e-46	6.49687e-44	45.2978082187968	43.1872958232219
GPRC5B	706.9313678	-1.346762551	0.09476148	-14.21213089	7.70449e-46	9.86175e-44	45.1132561041897	43.0060460112347
MAP1B	1025.850384	2.421679874	0.1706405	14.19170641	1.03119e-45	1.30379e-43	44.9866613072197	42.8847923542986
SYK	1284.90336	-1.433793212	0.101031731	-14.19151389	1.03402e-45	1.30379e-43	44.9854710610432	42.8847923542986
NBL1	4759.536151	-1.128729152	0.079561699	-14.18684073	1.10527e-45	1.38331e-43	44.9565316177376	42.8590804835184
NPAS3	125.9883519	-3.038396089	0.21494686	-14.1355686	2.29275e-45	2.8484e-43	44.6396432978822	42.5453990229022
GGT5	551.4232408	-2.322546761	0.164548761	-14.11464142	3.08582e-45	3.80569e-43	44.5106294105109	42.4195665909236
IER3	10090.43614	0.941962923	0.066769367	14.10771087	3.40451e-45	4.1683e-43	44.4679453858392	42.3800410316337
HLA-B	2441.500362	0.891871019	0.063251101	14.10048204	3.77184e-45	4.58483e-43	44.4234467381486	42.3386767628142
ALPL	199.3538352	-1.944960753	0.138246481	-14.06879036	5.90712e-45	7.12905e-43	44.2286242065913	42.1469683393271
EYA2	334.7515695	-3.224238681	0.230368644	-13.99599627	1.64902e-44	1.97602e-42	43.7827740770195	41.7042086640775
NPAS2	2065.133099	1.582833235	0.113175448	13.98565908	1.90702e-44	2.26908e-42	43.7196447522376	41.6441501921071
TRIM29	7884.939883	0.881830528	0.063060294	13.98392672	1.95402e-44	2.30875e-42	43.7090709954559	41.6366230915517
LAMP2	1630.773528	-0.929047786	0.066610419	-13.94748457	3.25898e-44	3.82387e-42	43.4869183047439	41.4174968808422
FUNDC2	1534.191255	-1.185587601	0.085008943	-13.94662209	3.29862e-44	3.84369e-42	43.4816677121626	41.4152516461644
CD99L2	424.9075891	-2.188916321	0.157000614	-13.94208764	3.51506e-44	4.06784e-42	43.4540672574304	41.3906361374808
NOV	525.0729352	1.293392309	0.092824943	13.93367194	3.95489e-44	4.5457e-42	43.4028655913211	41.3423992295534
BDNF	354.595262	1.808603154	0.130389218	13.87080295	9.5205e-44	1.08688e-41	43.0213402426304	40.9638184027533
NPPC	77.53641394	5.597533178	0.405197439	13.81433504	2.08874e-43	2.36855e-41	42.6801156163111	40.6255174428993
FDFT1	2529.956021	-0.941294315	0.068421772	-13.75723375	4.60824e-43	5.19073e-41	42.3364649106696	40.2847715607108
ID2	735.7365145	-1.367551222	0.099564149	-13.73537803	6.23299e-43	6.97434e-41	42.2053035698749	40.1564968845304
SEPT8	1904.087757	-0.903515176	0.066088194	-13.67135528	1.50565e-42	1.67364e-40	41.8222759715181	39.7763379530496
FBXL18	1459.315499	1.218984899	0.089169223	13.67046669	1.52415e-42	1.68313e-40	41.81697228958	39.773882339103
ACTA2	302.3838001	1.678849953	0.122946674	13.65510667	1.88214e-42	2.06497e-40	41.7253480754007	39.6850862534163
CCDC3	421.6365398	-1.308498032	0.09597881	-13.63319702	2.54196e-42	2.7709e-40	41.5948312877379	39.5573791473437
PTPRJ	5044.797513	0.908224808	0.06668843	13.61892621	3.09079e-42	3.34756e-40	41.5099305015493	39.475271630168
LIX1	2763.336003	-0.747221202	0.054983089	-13.5900185	4.58964e-42	4.93928e-40	41.3382213781109	39.3063363536708
TSPAN12	494.2835462	-1.505914974	0.111116435	-13.55258539	7.64879e-42	8.17937e-40	41.1164072626093	39.0872801457248
BMP7	6553.846478	-0.973007356	0.071995249	-13.51488294	1.27759e-41	1.35762e-39	40.8936084961822	38.8672217727634
EHBP1L1	1355.447487	0.972347718	0.072061258	13.49334919	1.71146e-41	1.8073e-39	40.7666332466764	38.7429697514067
GDA	2447.553974	1.018829548	0.075662713	13.46541127	2.49923e-41	2.62279e-39	40.6021937746321	38.5812364808516
KRT5	1813.063633	-1.743702275	0.130029255	-13.41007659	5.27843e-41	5.50521e-39	40.2774952334755	38.2592261099163
CTHRC1	265.5072184	2.224234484	0.166145907	13.38723611	7.18034e-41	7.44288e-39	40.1438549907677	38.1282589829909
NSDHL	712.065835	-1.379499993	0.103284966	-13.35625166	1.08912e-40	1.12206e-38	39.9629242667395	37.949983919397
MCTS1	768.730097	-1.491755122	0.112146966	-13.30178756	2.26e-40	2.31424e-38	39.6458915608526	37.6355916042128
SLC48A1	18446.35188	0.593818619	0.044654531	13.29805965	2.37553e-40	2.41789e-38	39.624239480609	37.616563460911
KLF4	847.2515508	1.162424195	0.087483197	13.28739964	2.73934e-40	2.77149e-38	39.5623540608604	37.5572866840759
RDH11	1602.35064	-0.75531657	0.056906129	-13.27302668	3.31899e-40	3.33796e-38	39.4789940561034	37.4765188719358
LAD1	5241.779821	0.627282669	0.047285361	13.26589585	3.65032e-40	3.64946e-38	39.4376690620798	37.4377713920832
LDOC1	3513.171508	-1.003510427	0.075672401	-13.26124727	3.88382e-40	3.86006e-38	39.4107409061632	37.4134059446893
TIMP2	14297.50011	0.771232528	0.058169627	13.2583371	4.03749e-40	3.98933e-38	39.3938885403141	37.3991000370792
RPL10	45848.00405	-0.66977538	0.050527337	-13.25570306	4.18179e-40	4.10788e-38	39.3786377802537	37.3863822515643
