id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
SEH1L	-0.097347067	0.433973877	0.279547551	-1.134141462	22.89201316	0.553544308062239	0.362536411999474
TUSC2	0.166169816	0.433973877	0.27959076	1.134034159	20.26704194	0.553477185384588	0.362536411999474
PSMA2	-0.079264976	0.433973877	0.279622976	-1.133954163	26.28163607	0.553427146445471	0.362536411999474
ZFAND2B	-0.331074674	0.434133671	0.279787306	-1.133742748	20.47965422	0.553171993415359	0.362376529382661
KLC4	-0.181028024	0.434599905	0.280149218	-1.132648467	20.99975706	0.552610585471119	0.361910372948721
TRAPPC8	0.142595026	0.434739538	0.280300683	1.132273004	20.7209592	0.5523758440065	0.361770860489229
SENP8	-0.155757566	0.434808127	0.280406372	-1.132011108	21.2814784	0.552212121614809	0.361702347110423
TOP2A	-0.199215933	0.43482894	0.28048893	-1.133636392	24.87224772	0.552084274282274	0.361681559194644
TMEM138	0.549609109	0.43482894	0.28060893	1.132941034	18.08654126	0.551898512252731	0.361681559194644
DOCK6	-0.342958115	0.43482894	0.280589569	-1.132218717	21.41186213	0.551928478033048	0.361681559194644
ARMT1	0.171369099	0.43482894	0.280665669	1.131368895	21.22736212	0.551810706979745	0.361681559194644
CASTOR2	-0.149192675	0.434877874	0.28075873	-1.131138519	19.7195928	0.55166673076773	0.361632688090364
RPL18A	-0.077603544	0.43628509	0.281741354	-1.128709557	26.08896463	0.550149402585156	0.360229628730738
PDK1	0.311062225	0.43628509	0.281790582	1.128588041	16.7975011	0.550073525966836	0.360229628730738
SRPK1	-0.07907546	0.436371743	0.281959781	-1.12817051	24.82798826	0.549812835423387	0.360143379661366
CEP41	-0.18243902	0.436371743	0.281969923	-1.128145487	20.874498	0.549797214275557	0.360143379661366
ADAR	-0.092132889	0.436606527	0.282183353	-1.127619095	26.789223	0.549468610402681	0.359909776142007
ZDHHC3	0.112969751	0.436614089	0.282249962	1.127454878	21.27267974	0.549366107873115	0.359902254251635
SFSWAP	0.228368118	0.43679759	0.282430333	1.127010339	20.45452046	0.549088661915276	0.359719766485986
VPS33A	0.086893919	0.43712808	0.282705819	1.126331804	23.36157421	0.548665252233574	0.359391294637422
DEPDC7	-0.119350161	0.437254029	0.282849086	-1.126633756	29.4224642	0.54844522030274	0.359266180101073
KRR1	0.113694154	0.437267372	0.282919531	1.125805771	21.22299009	0.548337070525547	0.359252927615163
NAF1	-0.185233294	0.437443978	0.283095636	-1.125372532	19.80735455	0.548066825356645	0.359077557735
PGRMC1	0.062935878	0.438608927	0.283911546	1.123367997	25.63145483	0.546816945402549	0.35792253338037
RBM41	0.369545537	0.438863295	0.284138238	1.122879799	18.70937562	0.546470317016478	0.357670740516511
CPS1	-0.440311511	0.438880878	0.284273704	-1.12310112	18.86761791	0.546263311733681	0.357653340913959
TRIP10	0.065295471	0.438880878	0.284240472	1.122561137	24.35283476	0.546314084343576	0.357653340913959
ARID1B	-0.144523434	0.439040096	0.284438897	-1.122074745	20.71671113	0.546011014139991	0.357495815347021
SEC63	0.094676768	0.439055553	0.284554717	1.121790961	23.44005457	0.545834210793341	0.357480525691925
PDIA3	-0.060432939	0.439055553	0.284573043	-1.121746064	29.61164306	0.54580624209725	0.357480525691925
MYORG	0.595390026	0.439696875	0.285113029	1.122384122	18.79373552	0.54498293599284	0.356846620973605
SRP72	-0.136566493	0.439696875	0.285064925	-1.12098569	25.44857091	0.545056215928202	0.356846620973605
NDUFV3	0.497764665	0.440067814	0.285426252	1.120305354	18.65608957	0.544506085270368	0.356480394021368
RUVBL1	0.061746147	0.440067814	0.285513692	1.119444644	27.48831272	0.544373060036476	0.356480394021368
TWF2	-0.06490845	0.440067814	0.285540184	-1.119379911	25.46069565	0.54433276496133	0.356480394021368
TLN1	-0.046130187	0.440819246	0.286090071	-1.118037326	28.93414623	0.543497214493716	0.355739452611051
TNFRSF10A	0.12208393	0.44124694	0.286430018	1.117208308	20.17517009	0.542981469714006	0.35531829337913
NEDD1	0.152245159	0.441573394	0.286704354	1.116539844	22.27143597	0.542565711644321	0.354997101916276
DNTTIP1	0.343360892	0.441770652	0.287144679	1.116109956	21.10459529	0.541899227101252	0.354803138844416
CRELD1	-0.352945153	0.441770652	0.287122347	-1.115967056	20.45912758	0.54193300464353	0.354803138844416
VPS37C	-0.244136789	0.441770652	0.286958466	-1.115921095	19.01627878	0.542180957943171	0.354803138844416
WRAP73	-0.137118909	0.441770652	0.287055091	-1.115685928	19.56218104	0.542034746397473	0.354803138844416
UBL7	0.090307847	0.441770652	0.287121148	1.115525193	22.59253431	0.541934818226403	0.354803138844416
ACSL4	-0.192844583	0.441983508	0.287345512	-1.115149403	22.73100534	0.541595581647932	0.354593935443264
CDC37L1	0.144289549	0.44213265	0.287517335	1.114561751	23.06434546	0.54133596569475	0.354447412732083
RBCK1	0.206212808	0.44213265	0.287567476	1.114439892	18.95923504	0.541260234396494	0.354447412732083
C9orf50	0.128949884	0.442350465	0.287771677	1.113943781	19.37523983	0.540951952331001	0.354233511860752
RAC1	0.082156865	0.44345544	0.288553208	1.112047515	23.89506843	0.539774093044962	0.353150013113807
CYP4F11	0.158248796	0.443606003	0.288713887	1.111658137	21.05031152	0.539532326259832	0.35300258548921
TMPPE	0.600426033	0.443891749	0.28902536	1.112767262	18.14550741	0.53906404919896	0.352722927506901
COG3	-0.26276798	0.443891749	0.288984184	-1.11107378	21.15072254	0.539125925373161	0.352722927506901
TIMM8A	-0.129774482	0.444174959	0.289272553	-1.110305596	23.12667497	0.538692771489011	0.352445929071352
CLIP1	-0.077363889	0.444623838	0.289627742	-1.109446711	24.61029577	0.538159841575443	0.352007256809475
PLIN3	-0.06854225	0.445060335	0.28997499	-1.108607805	25.39974411	0.537639457871332	0.351581109510398
GATC	-0.143997655	0.445188829	0.290121643	-1.108253742	20.4860633	0.537419871732098	0.351455741831771
LIG1	0.09660938	0.445340044	0.290283141	1.107863994	22.63965825	0.537178186294686	0.351308252305708
SUPT16H	0.056747446	0.445356739	0.29035698	1.107685852	26.7285049	0.537067729337744	0.351291971689196
TMEM230	0.246119658	0.445783221	0.290698049	1.106863445	20.96110329	0.536557882957393	0.350876282119239
STMN1	0.075316554	0.44582088	0.290842267	1.106515919	27.2676196	0.536342478861918	0.350839595217765
HIBADH	-0.232932162	0.44582088	0.290848652	-1.106500537	20.64559427	0.536332944691188	0.350839595217765
GPS2	-0.378961922	0.447291875	0.292102738	-1.104111945	20.64394828	0.534464372185237	0.349408990659701
VPS26B	0.376597417	0.447291875	0.292124465	1.103617782	19.13311733	0.534432069970741	0.349408990659701
LSM4	-0.12781867	0.447291875	0.292022043	-1.103677894	23.99988481	0.534584365017522	0.349408990659701
AP2B1	-0.108575008	0.447291875	0.292035868	-1.103644688	25.19874546	0.534563804997358	0.349408990659701
NMRAL1	-0.102365776	0.447291875	0.292119728	-1.103443299	22.520873	0.534439112412876	0.349408990659701
JAGN1	0.115797242	0.447601856	0.292416659	1.10273057	20.66786949	0.53399788921868	0.349108121319543
HIRA	-0.356856866	0.447601856	0.292453461	-1.102642271	17.45037384	0.53394323467232	0.349108121319543
RUFY3	-0.189501188	0.447780661	0.292633588	-1.102210219	18.68771052	0.533675827746301	0.348934666903369
POFUT2	-0.101091172	0.448139151	0.292931217	-1.101496766	23.16074862	0.533234344097073	0.348587112948113
ATP5F1D	-0.114810118	0.448379695	0.293171698	-1.100920709	25.28099169	0.532877957617871	0.348354062778944
PPIP5K2	0.112111917	0.448379695	0.293215221	1.100816492	21.42817801	0.532813488926097	0.348354062778944
PKP4	0.117803895	0.448680538	0.293475381	1.100193767	20.51476699	0.532428324890974	0.348062768047752
PDPR	-0.264139067	0.449063994	0.293809504	-1.099463402	21.04848038	0.531934159982122	0.347691765320263
DYNLT1	0.147045734	0.449063994	0.293853157	1.099290265	22.85844039	0.531869639098589	0.347691765320263
POLR1E	-0.148938995	0.449368127	0.294115695	-1.098662887	21.81320585	0.531481799464297	0.347397734673712
DYNLL1	0.086985982	0.449417794	0.294211734	1.098433493	24.15318933	0.531340010365023	0.347349736360541
TMX1	-0.062425899	0.449467311	0.294307688	-1.098204358	25.18953878	0.531198392972196	0.34730188828794
FMOD	0.21220528	0.449544749	0.294421943	1.097931596	17.11427541	0.531029825555032	0.347227070835162
VCL	0.040948289	0.449869337	0.294698121	1.097272604	29.3830594	0.530622633209909	0.346913607246797
ANKRD44	-0.267528753	0.449924508	0.294797865	-1.097034719	18.25040549	0.530475666071047	0.346860349578889
DUSP12	0.28523744	0.450078409	0.294962328	1.096806842	20.78537894	0.530233447704747	0.346711820380932
TEX10	-0.100000015	0.450304923	0.295174432	-1.096137172	24.2058501	0.52992126379417	0.346493305046733
ZC3H18	0.192600051	0.450738279	0.295522214	1.095766915	23.23898288	0.529409868234434	0.346075557854161
CHEK2	-0.097077349	0.450810957	0.295633592	-1.09504394	21.95321215	0.529246219832822	0.346005536932033
SGSH	-0.557047766	0.450813633	0.295808566	-1.096124724	18.94385594	0.528989253893327	0.346002958980974
GPT2	-0.075178339	0.450813633	0.295792727	-1.094665349	25.78537218	0.529012508711672	0.346002958980974
LZTS2	-0.175356373	0.450813633	0.29591967	-1.094431591	22.96818964	0.528826166003486	0.346002958980974
ARFGAP3	-0.141648832	0.450813633	0.295997215	-1.094247199	23.99694987	0.528712375143163	0.346002958980974
