id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
UQCC3	-0.018998375	0.934427799	0.905499373	-0.121328859	19.76998612	0.043111846070778	0.0294542498841619
BAG3	0.008714376	0.934831657	0.906022879	0.120653172	23.89766332	0.0428608353276074	0.0292665891471373
PHACTR2	0.01700568	0.934863803	0.906245568	0.120365766	17.00787319	0.0427541043358193	0.0292516553456543
MIB1	-0.047695491	0.934863803	0.906318344	-0.120293325	17.74371989	0.0427192297418558	0.0292516553456543
PDK3	-0.027758114	0.935124676	0.906703443	-0.11977486	17.66065758	0.0425347351324684	0.0291304827219886
RIPOR1	-0.039195595	0.935159631	0.906869532	-0.119563302	18.8000869	0.0424551888033151	0.029114249079264
CNTRL	0.028283	0.935167557	0.907086995	0.119279906	17.08997399	0.0423510595367479	0.0291105682066491
MTFP1	-0.021728207	0.935167557	0.907141614	-0.119209426	20.33695063	0.0423249098771112	0.0291105682066491
ISG15	-0.014280042	0.935622773	0.907715449	-0.118468986	23.95260026	0.0420502729512522	0.028899216033607
PIGO	-0.015771439	0.935789512	0.908009501	-0.118089589	20.00049652	0.0419096071944601	0.0288218265364981
EPB41L5	0.026959695	0.936022894	0.908368273	0.117626711	17.64523701	0.0417380429922131	0.0287135288086106
PAIP1	-0.012657389	0.936486945	0.908950998	-0.116874954	24.57173062	0.0414595291782906	0.028498272484131
GCAT	-0.069539476	0.936590323	0.909316135	-0.116544302	17.12193285	0.0412851026779241	0.028450333730335
RSBN1	-0.025723899	0.936590323	0.909197346	-0.116557169	18.25966218	0.0413418406761003	0.028450333730335
VPS36	0.019890837	0.937066291	0.909910709	0.115637014	21.78235404	0.0410012236033283	0.0282296846755781
MSL3	0.057399747	0.93712497	0.910100162	0.115465481	18.89991335	0.0409108083271471	0.028202490048816
EEF2K	0.032631941	0.937416706	0.910516001	0.114856342	18.8529437	0.0407124177054764	0.0280673110473378
NCOR1	0.035911626	0.937701106	0.910924795	0.114523416	22.86306515	0.040517476446001	0.0279355717498814
NUP54	0.010621747	0.93773683	0.91109206	0.114113442	22.86835887	0.0404377381422413	0.0279190265624609
PSPC1	0.004763142	0.938808012	0.912265518	0.112600335	25.62697131	0.039878740378277	0.0274232126902524
CBR4	-0.015361277	0.940000521	0.913557193	-0.110935115	22.46798727	0.0392642585722204	0.0268719056903414
ARHGEF5	-0.014556286	0.940147849	0.913833278	-0.110579231	21.95857332	0.0391330307970389	0.0268038432559274
NDE1	-0.019067232	0.940271053	0.914085953	-0.110253538	18.2739519	0.0390129649242665	0.0267469337903099
BUD13	-0.089796629	0.940341794	0.914287653	-0.110235887	18.33077029	0.0389171451234688	0.026714261009192
WDR41	-0.045087158	0.940401682	0.91447882	-0.109775714	19.09740369	0.0388263486497253	0.026686602768424
RAP2A	-0.018956355	0.942340599	0.9164975	-0.107145726	17.56880723	0.0378687153582682	0.0257920977050887
PITRM1	0.007939094	0.942653262	0.916934845	0.106582232	23.9497821	0.0376615230674716	0.0256480252816713
PSAP	-0.008311222	0.942857251	0.917266554	-0.106154868	27.90165316	0.0375044417459257	0.02555405466013
HSPB11	-0.007766385	0.943236843	0.917851768	-0.105400947	22.75069161	0.0372274511927814	0.0253792439614222
UROS	-0.024788539	0.943236843	0.91790252	-0.105335567	19.98116952	0.0372034378335914	0.0253792439614222
ZMAT2	0.018697285	0.943256502	0.918054992	0.105139152	21.31387269	0.0371313035407615	0.0253701924635807
FAM89B	-0.016580552	0.943388376	0.918336288	-0.104776797	18.76029609	0.0369982542251091	0.0253094792352805
TPRG1L	0.00927795	0.943388376	0.918450063	0.10463024	21.91941313	0.0369444517186665	0.0253094792352805
CEP131	-0.017430835	0.943438212	0.918631949	-0.104395954	22.60054861	0.0368584543751863	0.0252865375405399
PI15	-0.01592344	0.94491285	0.920201388	-0.102374621	19.45589441	0.0361171159959279	0.0246082449398944
SUMF2	-0.012611843	0.94516957	0.920585007	-0.101880615	22.93852318	0.035936102470711	0.0244902690475206
MFSD1	0.017510619	0.946486421	0.922001404	0.10005688	19.95700291	0.0352684176134115	0.0238856123679847
NBN	0.012290952	0.94665547	0.922299901	0.099672585	22.70039329	0.0351278379795467	0.0238080513056941
GPATCH8	0.009936918	0.947021061	0.922789959	0.099041702	21.90883025	0.0348971397411236	0.0236403625232575
DUSP23	0.011583146	0.94747263	0.923363912	0.098302871	22.52658257	0.0346271030635551	0.023433326807547
SCAF11	0.015516005	0.949135479	0.925118621	0.09604445	22.46981647	0.0338025773768446	0.0226717922274176
THEMIS2	0.02068491	0.949884635	0.925983099	0.094934727	21.57897436	0.0333969399681985	0.0223291372640877
ADSL	-0.005297687	0.950566434	0.926782117	-0.093903916	25.75321698	0.0330223548595649	0.0220175253936212
NAA50	-0.004956661	0.951263195	0.927595918	-0.092856915	24.9070919	0.0326411711961631	0.0216993060679469
RHOF	-0.016270743	0.951344917	0.927863059	-0.092513246	21.13531964	0.0325161154935796	0.0216619978977062
ITGB3	0.008710591	0.951344917	0.928060512	0.092259237	24.88182596	0.0324237057090403	0.0216619978977062
RPL28	-0.004836419	0.951344917	0.92807906	-0.092235376	26.80620678	0.0324150260879901	0.0216619978977062
PSME3IP1	0.013943404	0.951442061	0.928308327	0.09194045	21.69137818	0.0323077538729492	0.0216176533613241
UBE2J2	0.057986101	0.952354464	0.929389366	0.090703028	18.16581896	0.0318023009920132	0.0212013781834821
ACSF3	0.045485475	0.952354464	0.929467801	0.090505827	18.90397392	0.0317656506368239	0.0212013781834821
CD81	0.015870147	0.952908304	0.930143036	0.089580606	21.66497318	0.0314502611568949	0.0209488884307067
NELFA	-0.006129511	0.953009021	0.930376067	-0.089280916	23.19136424	0.0313414699299966	0.0209029883942248
SPATS2	-0.011724142	0.95349573	0.930986006	-0.088496543	20.68065587	0.0310568470129176	0.020681247496413
PUSL1	0.018559483	0.953551409	0.931175167	0.088253296	19.5833928	0.0309686145011833	0.0206558877850873
