id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
CASC3	115481.8904	112686.4815	91713.42594	99026.53654	83798.45324	80466.98797	132294.0405	153368.0313	127525.5587	83785.64956	89385.02858	159668.7553
PDSS2		134738.14	92073.56052	156319.1907	115309.2687	137539.6843	91366.33708	110800.875	96684.62403	111267.7825	95243.31917	110056.1577
SLC25A35	103992.3236	107820.6223	92399.00047	153500.289	140735.9123	129928.3444	153388.161	165715.2813	186603.9467	228590.7291	164582.5369	178561.9429
CYB5R2	70948.2801	85827.16472	92929.26535	191436.2376	178646.68	229102.3217	213778.8356	211076.9766	161982.8421	143207.155	157859.1831	164761.1868
THRB	89648.09531	92897.26897	93064.94345	60202.92501			179734.7889	163938.0781	228775.1619	160962.2031	133534.8588	190669.7257
FSTL3	135438.9513	104689.9912	94032.24485	122388.1528	118570.5754	124186.2502	156267.1377	159722.0156	149558.2809	98290.42946	101103.7164	106160.7737
BAZ2B	93244.34746	95708.34292	94670.72304	132857.9008	113378.5769	86176.20605	113647.8776	100892.0234	127207.1089	88616.15195	140840.3165	117451.9388
IRF9	243150.8543	233429.5759	94823.0023	147073.7444	203221.3719	224537.8311	222186.2588	183180.3203	111597.9637	476842.2901	547860.7423	646604.1725
SNX14	114515.0379	137445.6234	95448.11174	91917.03625	113874.5717	123187.1776	120047.5008	102571.7422	49540.24613	146316.2538	53462.84489	146995.2008
NT5E	139143.9937	115387.2905	96320.88374	1724158.766	1356171.771	1113791.971	670388.977	698706	653178.706	3672505.79	3903864.352	3694339.358
BICDL2	133190.8949	112821.3137	97107.49292	282466.5756	213844.2811	245903.3892	129154.8634	115187.5938	149896.3518	157545.3046	189014.9071	182484.1172
H2AC20	194092.7388	78516.72806	97333.35282	131593.3603	234689.2681	310129.9908	444068.1295	728879.25	458714.4022	270915.927	651722.98	1958579.714
BORCS6	93873.06657	133119.6257	98868.3101	201613.8317	105753.0404	133741.792	127509.7657	109198.75	112601.8976	141918.7215	97935.14473	137102.7934
ATP2A3	109095.4987	104831.5506	98870.08793	144584.7917	138772.5148	136510.8897	83351.16966			137634.1217	135732.018	
ORAI1	281738.3574	45317.98727	98927.94824	402143.9263	326475.1109	478374.9002	73224.83193	182156.0977	278222.8766	168784.0114	59083.18664	38455.63345
AHCYL2	126939.6411	115038.5309	99704.76318	100524.8576	93182.06694	119437.2539		99100.07031	130889.2697	143938.2637	163513.3637	162803.0385
CCSMST1	153843.5223	115835.7107	99955.29721	141548.9392	87847.07906	108966.7138	105103.6784	109354.375	62684.28313	99920.68509	107875.3691	130478.6036
OSMR	112980.5485	82502.72314	100593.2259	106133.8889	95782.34263	126593.7967		41524.86719		160893.3322	123877.0694	151295.761
TADA2B	98045.95996	102469.3863	101345.2266	165988.4983	133801.8581	72225.88297	112044.5716	231382.5313	134589.8422	133788.1285	124079.273	148764.7713
SKA3	216358.6819	294635.3122	101786.4195	127113.6346	147542.5383	159171.3166	148199.361	180548.0547	179535.8906			28606.35694
RTN1		108338.5699	102180.6453	193496.8395	231502.1149	244024.7565	269175.5288	250298.1563	287428.1892	95503.41785	97361.82937	149998.45
SH3BP5L	124963.3597	104600.7524	103524.7175	119234.2711	122271.3907	123394.4458		114431.5391	129258.1444	169636.4302	149169.0314	176552.456
WASHC3	136175.8032	135334.5686	103584.7328	130998.7469	111822.6965	84874.81096	153923.9888	156818.1563	190131.7282	153132.634	106383.4394	127402.1265
FAM110A	149425.1532	198429.7263	104234.9554								318205.7958	
DENND4A	76662.75086	106008.9956	104467.0323	127556.3271	106773.9111	97859.93339	96234.82769	118835.4453	128702.3517	107181.5172	92449.76745	79035.41939
CD109	105125.1758	125545.3378	104630.7867	127107.3428	125277.6261	154147.069	110652.6645	203645.4375		204293.2619	213105.8199	221823.2967
ADCY9	117373.6684	98841.17162	104832.2149	257177.4139	207183.2042	233157.2592	143043.8911	125451.7227	154174.4841	120809.1239	147666.5403	171274.1835
PICK1	156045.739	395536.1969	105072.292	495395.8434	143080.9187	498286.3032	443234.193	505397.2656	510541.3916	394296.0475	452239.2386	406772.3874
TLR3	165713.5261	112574.7291	105112.471	150450.1722	150235.6693	121401.5648	66064.48346	60295.03906	57207.75256	138089.2545	137645.7891	104539.5523
STK35	90182.68135	110464.9649	105215.0895				124852.7783					179255.117
FAM241B	158902.3009		105268.9955	107599.5014	136178.2881		226647.2003	273322.5938	475232.6973	191476.2759	336101.8218	258536.4597
